Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Now that I have completed for you, O sons, this book, which is the final part of medical science with its completion, and have reached the end in it, through its explanations and declarations, it seemed good to me to complete it for you with this Treatise which is a part of practice, that is, surgery with the hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with the hand has fallen into disuse in our region and during our time entirely: until perhaps its knowledge perished, and its trace was cut off: and nothing remained of it except small descriptions in the books of the ancients, which were altered by hands: and they fell into error and hesitation, until its intentions were closed, and its power was lost: It seemed good to me to revive it with the order of this Treatise according to the method of positioning, declaration, and abbreviation: and to come with forms of cautery tools and other instruments of work: which is made by addition of declarations, and by hastening what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a good practitioner of it with his hand is not found in our time is: because the art of medicine is long, and its author must be trained beforehand in the science of anatomy, as Galen narrated, until he knows the benefits of the members, and their forms, and their conjunction and separation, and has knowledge of bones, nerves, tendons, and their number, and their emergence, and of pulsating and quiet veins, and the exits of those places.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this, Hippocrates said that the name is abundant with the name, but scarce with the work, and especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken of this at the beginning of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not knowledgeable about what we have said concerning anatomy will not be able to avoid falling into error, by which people are killed: as I have seen many of those who are formed from this science, and who boast about it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	This is because I saw a foolish doctor cut into a scrofulous abscess on a woman's neck, and he cut certain arteries in the neck: therefore the woman's blood flowed until she fell dead under his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who attempted to extract a stone from an elderly man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore proceeded to do so and extracted it along with a piece of the bladder.
Quare mortuus est uir in tertio die.	Therefore, the man died on the third day.
