Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After completing this book for you, my children, which is the final part of the science in medicine with its supplement, and having reached the end of it from his explanations and own declarations, I consider it necessary to complete it for you together with this Treatise which is a part of operations, that is, surgery with practice.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the operation with practice is located in our region and time, entirely separated from us: until perhaps knowledge of it disappears and its investigation ceases. There remained nothing from that except small descriptions in ancient books which were changed by hands: they are thus prone to error and hesitation until their intentions are closed and their strength elongated. I consider it necessary to revive this by organizing this Treatise according to the path of position, declaration, and abbreviation: And to provide it with forms of Cauter's tools and other surgical instruments. As an addition from declarations and as a clarification of what is necessary.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why it is not found a good craftsman of this skill with his own hand in our times is: because the art of medicine requires one to be proficient beforehand in the science of anatomy as described by Galen, so that he may understand the functions of organs, their forms, and connections, and know about bones, nerves, blood vessels, their numbers, and exit locations. And also pulsating veins and quiet ones, and the places from where they exit.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this, said Hippocrates, the name with its name is much and the work with its work is little, particularly in the art of hands.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken about this in the introduction to this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For someone who does not understand what we said about anatomy will fall into error, which kills people: as I have seen many of them being formed in this knowledge and boasting about it without understanding, and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What happened was that I saw a foolish physician remove a scrophularia boil from a woman's neck, and he cut into some arteries in the neck. Thus, the woman's blood flowed until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who supposed he would extract a stone from the urine of an old person, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	So he approached him and extracted the bladder with the stone intact.
Quare mortuus est uir in tertio die.	Therefore, the man died on the third day.
