Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, having completed this book, the last on the science of medicine, through the completion of its contents, and due to the explanations contained therein, and through the declarations it makes, I believe you have now grasped fully this treatise, which is a part of the most high art of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, considered the most high art in our region and at our time, is entirely shrouded in secrecy, as its science is greatly neglected; only a few small descriptions of it remain in the books of the Ancients, which have led to much confusion and error, as the understanding of its principles is closed off, and its power extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I have found it necessary to revive the order of this treatise through a second method of exposition and declaration and abbreviation; and in order that the forms of cautery instruments and other surgical tools may be included for the sake of explanation and preparation, which is essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why our artful healers no longer have their hands full in this our time is that the art of medicine is complex, and requires expertise in the science of anatomy, which reveals how everything within [the body] functions and relates to one another; and knowledge of bones, nerves, and ligaments, and the names and movements of these; and the veins, both pulsing and static, and their locations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is fitting, but in practice it is small, especially in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said this at the beginning of this book; for those who do not know what we have told you about anatomy, they are not exempt from making mistakes that will lead to the death of men, as you have seen many of them who are formed in this science but lack real knowledge and rely on theory and experiment.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	You see a foolish doctor who has incurred an infected abscess in the thigh of a woman and incised some arteries in her thigh so that much blood flows within, causing the woman to die between his legs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who prescribed a stone from a man who had passed it in his state; the stone was large, and he came to him and extracted that stone with part of his bladder, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already summoned help to extract it, and you see that because of the size of the stone and the disposition of the patient's condition, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who was taking payment from a duke of our land for surgery, and he operated on a black crusted ulcer that was deeply infected in the patient's thigh; because of the doctor's ignorance, he extracted the fracture above the wound, using poultices and planks with strong tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then release it according to their desires, and apply rest, and take away the swelling for some days, and command that we loosen the ligament; and thus, until the matter and the pain in the foot are resolved, and brought to healing.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have been called to loosen the ligament, and by doing so, achieve tranquility and thus alleviate their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if the corruption is already confirmed in the member, then it cannot be restrained, and the corruption continues to spread throughout the member until the danger of the illness increases.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And there is another doctor who perforates a cancerous abscess, and it becomes ulcerated after some days, until the evil of it increases under the control of its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which causes is because the pain in the cancer is pure melancholic humour, and it does not cover that it will reach him with a sharp weapon, but rather affects the member in which it suffers most.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary for you that the operation be carefully devised in two stages: first, the operation associated with health, and second, the work which is perilous to the greatest dispositions.
