Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, as you have completed this book, which is the last of medical science, through the completion of its content it has reached its end, and due to its explanations, and its demonstrations, and its declarations, I believe you have fully grasped this treatise, which is a part of the greatest operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, considered the most complex of medical operations in our region and in our time, is fraught with great peril due to the lack of knowledge about it, and the study of it has ceased; and there remain only a few small descriptions in the books of the Ancients, which have led to many errors and misconceptions, as the understanding of its principles is closed, and its power and art extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has appeared to me that I should revive the order of this treatise according to the second way of exposition and declaration and abbreviation; and so that the forms of cautery tools and other surgical instruments be included as an addition to the declaration, and for the preparation of them, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which there is no longer a skilled artisan with their hand in this our time is because the art of medicine is long, and requires that its practitioner be well-versed in anatomy, understanding the youth of the members and the shapes of those, and the conjunction and separation of them; and have knowledge of bones, nerves, and ligaments, and the names of those, and their extraction; and also of the pulsating veins and the static ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is fitting, as he was small in stature but great in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this at the beginning of this book; for those who are not aware of what we have told you about anatomy, they are not exempt from falling into errors that will lead to men's deaths, as you have seen many of them, some well-formed in this science but lacking in knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When you see a foolish doctor who has cut an abscess on the breast of a woman and cut some arteries in her breast so that much blood flows inside, causing the woman to die from it among others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who tried to remove a stone from a man who had been suffering in his state; the stone was large, and he came to him and extracted that stone with part of the bladder, so that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for help to remove it, and you see that because of the size of the stone and the condition of the patient, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who was paid a stipend by a duke in our land to perform surgery; he took a black crust that was supposed to be cut from the patient's thigh; and because of the doctor's ignorance, he removed the fracture above the wound with pincers and pliers with strong tension, and did not allow the wound to breathe.
