Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my children, as you have completed this book, the last of medical science, through the fulfillment of its purpose it has come to an end, and due to its expositions, explanations, and declarations, I believe you now possess great knowledge from this treatise, which is a part of the most important operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, considered the most important operation in our region and time, has been largely forgotten due to the lack of knowledge about it, and the study of it has ceased; its principles are closed, its force weakened, and its art neglected, as is evident from the few descriptions found in the books of the Ancients.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has seemed to me that I should revive the order of this treatise according to the second way of exposition, declaration, and abbreviation; so that the forms of cautery tools and other surgical instruments may be added for clarification, and preparation, which is necessary for its execution.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why our skillful doctor lacks mastery in this our time is that the art of medicine is lengthy, and he does not have sufficient training in the science of anatomy which reveals how the joints work within each member and their forms; and the connection and separation of them; and knowledge of bones, nerves, and tendons, and the number of these, and their extraction; and also of pulsating veins and static ones, and the places from which they emanate.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is worthy, yet in practice it is small, especially in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this in the introduction to this book; for those who are ignorant of what we have said about anatomy, it is not surprising that they fall into errors from which men can die, as you have seen many such people, some formed in this science and others having gained knowledge of it through experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	You see a foolish doctor who has cut open a pus-filled abscess in the breast of a woman, and he has cut some arteries in her breast so that much blood flows out until the woman dies from it.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who attempts to remove a stone from a man who had passed it, and the stone is large, and he comes to him and extracts that stone with a part of his bladder, so that man dies on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for help to remove it, and you see that because of the size of the stone and the condition of the patient, he knows that he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who is paid handsomely by a duke of our land to perform surgery, and he takes a black cat that was badly broken; due to his ignorance, the doctor extracts the fracture over the wound, with pincers and forceps, but does not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then dislodge it according to their wishes, and apply rest, and elevate for some days, and order that the bandage be removed; and thus also for the foot, if it has healed, so that the matter does not recur and cause harm.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And they have often called upon him, and prepared to loosen the bandage, and as a result, there is peace and thus an end to their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if the corruption is already confirmed in the member, then it cannot be restrained, and the corruption does not cease to spread throughout the member until the danger of the illness increases.
