Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, since you have completed this book, which is the last of medical science, through the fulfillment of its contents and by the examples and explanations it contains, I believe that you have fully grasped this treatise, which is a part of the most important operations, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery, being the most complex of medical arts and sciences, facing a decline in our era and region due to the lack of understanding and study, only a few small descriptions of it remain in the books of the Ancients, which have led to many errors and misconceptions, as the intentions of its techniques are closed and its power and art prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I have found it necessary to renew the order of this treatise according to the second way of exposition and declaration and abridgment; so that the forms of cautery tools and other surgical instruments be included as an addition to the explanation and as preparation for the operation, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why our skillful physician cannot always achieve this in our time is because the art of medicine is complex, and he must first be trained in the science of anatomy to understand the growth of the limbs and their forms, the conjunction and separation of them; he must know the bones, nerves, and ligaments, their number, and the extraction of them; and also the pulsating veins and static ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that the name is fitting, as he is great in his work, especially in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of this in the introduction to this book; for those who do not know what we have told you about anatomy, they are not exempt from falling into errors that will lead to the death of men, as you have seen many of them who, having been trained in this science, believe they possess all knowledge and rely solely on their experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	You see a foolish doctor who has incisioned an abscess with a sharp object on the thigh of a woman, and he cuts some arteries in the thigh so that a great amount of blood flows inside, causing the woman to die among her pains.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you see another doctor who tries to pass a stone from a man who had been suffering in his state; the stone was large, and it comes out of him with a piece of his bladder, so that man dies on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called for help to remove it, and you see that because of the size of the stone and the disposition of the patient's condition, he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you see another doctor who is highly paid by a duke of our land for surgery; he operates on a black crust that was causing the patient severe pain in his side. Due to the doctor's ignorance, he removes the fracture without allowing the wound to breathe, using poultices and splints with excessive tightness.
