Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, now that I have completed this book for you, which is the last of the science of medicine and from whose completion through its expositions and declarations I have seen that you will reach the end of it, and by means of which, it is to me clear that you will reach it through this treatise, which is a part of the action with the hand, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the action with the hand is now prohibited in our realm and in our times deprived of it, while greatly threatening the science of medicine; and its practices are obscured and only a few small descriptions remain of them in the books of the ancients, which they have altered and introduced into errors and delusions, closing their minds to it, lengthening their words, and losing the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has seemed good to me that you animate this through the arrangement of this treatise according to the way of exposition and declaration and abbreviation; and so that it may come with the forms of the instruments of cautery and of the other instruments of the work as they are through addition of declaration, and through preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which no good artist is found with his hand in our time is because the art of medicine is long, and that it requires its practitioner to be exercised beforehand in the science of anatomy, which understands the joints of the members and their forms, and the conjunction and separation of them; and has knowledge of the bones, the nerves, and the veins, and the places of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And because of this, Hippocrates says that by name it is much, but in work little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of that in the introduction to this book; for whoever is not knowledgeable of what we have told you of anatomy, it is not vacated that he will not fall into error by which men will die, as I have seen many of those, for some are formed in this science and they throw themselves from it without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen an old and experienced physician open a scrofulous abscess on the neck of a woman, and cut certain arteries in her neck so that much blood flowed, causing the woman to die under his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who, after he had extracted a stone from a man that was large, and came to him and drew out that stone with a piece of the bladder, causing that man on the third day to die.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have called it to be extracted before, and I saw by the size of the stone and the disposition of the patient that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another physician who took a stipend from a duke of our land for surgery, and he treated a black slave who had a fracture in his thigh; and the physician, through his ignorance, drew out the fracture above the plague with powder and bandages with great tightness, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he closed it according to his wishes, and bound it up, and let it lie for several days and commanded that we not loosen the bandage; and so it went as the thigh and the foot became pustular, and he came to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the bandage, and tranquility came upon him and he ceased from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption had been confirmed in the member, so that I could not restrain it, and the corruption did not cease to wander about the member as the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another physician who opened a cancerous ulcer and it was inflamed after several days, as the malice of it grew great with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cold humor is pure, and it does not come to it with fire at all, but that there be a member which suffers that from everything it becomes hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And because of this, children, it is necessary for you that the action with the hand be divided into two duties: one in operation that is associated with health, and in work in which there is peril in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already touched on that in every place of this book in which occurs operation in which there is error and fear; so that it is necessary for you to keep to that and leave that aside, so that the unlearned do not find a way to speak and to reproach you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your arms with diligence and the protection of God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God that they may attain health and laudable success, and lay aside the terrible maladies of difficult cure, and display your arms against what makes you afraid, so that idleness in your faith and in your name does not vanquish you; for more remains to your glory, and beyond all in the realm and in the world to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Gauliah has already said in some of his books:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“Do not treat bad maladies poorly, so that bad physicians are not named.”
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered of the head, in the forms of the instruments and of the tools of cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cauterization and puncturing, and of cupping-glasses, and of plasters, and of extraction of thorns and the like; all chapters and ordered of the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and of dislocation, and of cure of torture and of the like; a chapter ordered of the head, in the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and with acute medicine and remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of all the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will say what the quality of the humors of that cautery and of the pain of it are, and in what condition cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of the humor of cautery and of the pain of it is long and prolix, and subtle by science, and a secret hidden; and many wise men have spoken greatly of it, and they are disagreed among themselves, and for me a little of their speeches suffices, fearing prolixity.
