Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, since I have fulfilled this book for you, which is the last of the science of medicine, by its completion in it, and by its expositions and declarations, it has appeared to me that you will complete that with this treatise which is a part of surgery through manual operation.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation through manual technique is proscribed in our realm and in our times deprived of all, while greatly endangering the science of it, and its procedures are hindered; and nothing remains of it but some slight descriptions in the books of the Ancients which they have altered and led to those errors and misconceptions whereby the understanding of it is clouded and its power and art prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it has seemed to me that you enliven that through the arrangement of this treatise according to its second way of exposition and declaration and abridgement; and so that the forms of the instruments of cautery and of the other tools of the work come through addition of declaration, and through preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause whereby no good artificer is found by the hand in our times is because the art of medicine is long, and that one who practices it before he be exercised in the science of anatomy, which belongs to Gualia, knowing the parts of the members and their forms, and the conjunction and separation of them; and having the knowledge of the bones, the nerves and the sinews, and the number of these, and their issue; and of the pulsating veins and the quiet ones, and the places of their issue.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And on account of this Hypocras says that one whose name is great but in action small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of this in the introduction to this book; for who is not learned in that which we have said concerning anatomy, it is certain that he will fall into error whereby men will die, as I have seen many of these, for some are formed in this science and throw themselves from that without learning or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced physician incise a scrofulous abscess on the neck of a woman, and incised some arteries of the neck so that much blood flowed and the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who, when he had extracted a stone from a man whose condition was improved, and the stone was large, came to him and drew out that stone with a piece of the bladder so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called to them to draw it out and saw that on account of the size of the stone and the disposition of the patient that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who received stipends from a duke of our land for surgery, and he undertook to treat a negro who had suffered a fracture in his thigh; and preparing with his ignorance, drew out the fracture over the wound with powders and splints with strong compression and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he let him loose according to his desires and bound him and left him for several days and commanded that we unbind the ligature; and it was thus until the thigh and the leg were apostematized, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him and made preparation to unbind the ligature, and tranquility was achieved and he was eased of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was nonetheless confirmed in the member so that I could not restrain it and the corruption continued to circulate in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who perforated a cankerous abscess and it was ulcerated for several days until the evil of it grew great with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cold humor is pure, and it does not come to him by iron at all but that it be in a member which suffers that it be opposed to all things.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And on account of this, children, it is necessary for you that the operation through manual technique be considered in two ways: one is in operation which is associated with health, and the other in work whereby there is peril in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already expounded that in every place of this book in which occurs operation whereby there is error and fear; so that it is necessary for you to guard against that and leave it, lest the foolish bring about your harm through speaking.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and with God's protection, and your patients with gentleness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace for the sake of health and praiseworthy success and rid yourselves of terrible illnesses of difficult cure, and arm yourselves against that which causes you to fear so that trembling in your faith and in your name does not abandon you: for more remains for your glory and beyond in the world and in the last days for your saints.
Gualia ja diyssec en alcunas sieuas monicios:	Galia already said in some of his books:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal a bad illness lest bad physicians be named."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have arranged this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered concerning the feet, in the forms of the instruments and the tools of the cauteries, and of that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of bleeding and piercing, and of cupping-glasses, and of wounds, and of extraction of arrows and their likes, all capitulated and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of reduction and of dislocation, and of cure for twisting and their likes; a chapter ordered concerning the feet and the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and with sharp medicine and reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That I say the quality of the humors of that cautery and of the nocent things in it, and in what condition cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech of the quality of the humor of cautery and of the nocent thing in it is long and prolixed, and subtle through science, and secret hid away; and already many wise men have spoken greatly of it, and from it they have disagreed, and for me a little of their speeches suffices, fearing prolixity.
