Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, if I have fulfilled this book for you, which is the last of the science of medicine, through its completion in me, and through its expositions and declarations by me, it seems to me that you will complete it with this treatise, which is part of the operation with the hand, and that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is deprived in our time and age of all its strength, while the science of it is lost and its traces are left behind; and there remain of it only a few small descriptions in the books of the Ancients, which they have changed and directed to error and confusion, so that their understandings of it are closed off and its art is prolonged and stretched out.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will enliven this through the ordering of this treatise according to the way of exposition and declaration and abbreviation; and so that you may come to the forms of the tools of cautery and of the other instruments of the work as is fitting, through addition of declaration and through preparation for it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why there is no good artificer with his hand in our time is that the art of medicine is long, and that one has to be exercised before it in the science of anatomy, which was known to the Gauls as they knew the parts of the members and their forms; and the connection and separation of them; and had knowledge of the bones, the nerves, and the tendons, and the number of these, and their outgoing.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hypocras says that with a name is much, but in the work little, and most especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this in the introduction to this book; for whoever is not learned in what we have said of anatomy is evacuated and will fall into error by which men will die, as I have seen many of those, for some are formed in this science and throw themselves from it without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced physician make an ulcer of scrofula in the neck of a woman, and incise some arteries of the neck so that much blood flowed and the woman died under his hand.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who had to swallow a stone of a man who had a process in his state; and the stone was large, and he came to him and pulled out that stone with a piece of the bladder, and the man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called to draw out that one, and saw that by the size of the stone and the disposition of the patient, who lay over him, he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who took stipends from a duke of our land for surgery, and treated a broken bone of a black person; and through his ignorance he drew out the fracture on the wound with poultices and bandages with strong tightness, and did not leave the wound to breathe.
