Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqashani's words.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O son, I give you this book, which is the last of medical science, for its completion leads to it; and for its explanations, and its declarations, I see that I fulfill it for you as a treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is prostrated in our region and in our time completely deprived, so much so that it is dangerous science; and its evidence remains; and it was not except for a few small descriptions in the books of the Ancients, which change them into error and confusion within that they are closed the interpretations of them and is elongated the force of them and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I have animated it with an order of this treatise in that second way of explanation and declaration and abbreviation; and because it comes to the forms of tools cauterizing and other instruments of the work by addition of the declaration, and preparation of it, which is necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why a good craftsman does not excel in our time is that the art of medicine is long, and that his actor before being practiced in the science of anatomy which covers Gualia within that he knows the growth of limbs and forms of them, and the connection and separation of their; and has the understanding of bones, nerves, and ligaments, and the number of those, and the structure of them. And the pulsing veins and quiet ones, and places of impression of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore I say that by a name is it known, more in the small work, and most in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	More, we have said of this in the introduction of this book; for who does not know that I have told you of anatomy, it is not necessary that he falls into an error by which men die; for thus are found many of them, for they are formed in this science and get away from that one of that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor come out and experiment to have hit an escrophyl apoplema in the neck of a woman, and hit some arteries of the neck so that blood flowed heavily from it; that the woman fell dead among her people.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who said that he would drink a stone from a man which had passed in his state; and the stone was large, and it came to him and dried up that stone with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called to him to draw out that, and I saw that because of the size of the stone and the patient's disposition, I knew for sure that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipendium from a duke of our land for surgery; and he put the patient on a black cauldron that was broken in his crotch; and prepared the doctor because of his ignorance, drawing out the fracture, on the plane, with powder and needles to strengthen it, and did not leave the plane to breathe.
