Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaa'.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O son, I give you this book, which is the last part of medical science, to complete it as far as possible through its explanations and statements; to me, it seems that I have fulfilled this by writing this treatise, which begins with surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For as surgery is laid down in our country and in our time entirely deprived, so great danger lies in the science of it, and its evidence remains; except that there are a few small descriptions in the books of the Ancients, which they changed with mistakes and situations until their judgments were closed, and the force of them was extended and their art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I have made it possible to arrange this treatise in the second way of explanation and statement and abbreviation; and because it comes to add to the forms of the instruments of cauterization and other tools of work by addition of the statement, and for preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which no good artisan can master himself in this art in our time, is that the science of medicine is long, and that he has to deal with the actor before him having been exercised in the science of anatomy which brings together Gualia as it knows the joints of the limbs and their shapes, and the connection and separation of them; and has knowledge of the bones, nerves, and ligaments, and their numbers, and the length of them; and of the pulsating veins and quiet veins, and the locations of their sensations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore say I that a certain name is necessary, small in the work, and more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of that in the introduction of this book; for who does not know that we told him about anatomy, is not aware that he falls into error by which people die, so I have seen many of them formed in this science and get themselves out of that science and their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a doctor in a book and tried to find out that he had put an abscess of scrofula on the neck of a woman, and hit some of the arteries of the neck so that blood flowed from her; that's why she died among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who promised that he would cure an illness of a man which had progressed much, and the sickness was great, and he came to him and cut off part of the bladder with a bit of the urine, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	But I already called to remove that one out, and I saw that because of the greatness of the sickness and the disposition of the patient, it seemed certain that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a fee of two ducats from our land for surgery; and he had placed a black cast on him which was broken in the crotch of him; and the doctor prepared himself with his ignorance, he removed the fracture by cutting it, about the pubis, with pulvines and needles to strengthen the stretch; and did not leave the pubic area breathing.
