Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O sons, since I have fulfilled this book for you, which is the end of the science of medicine, by whose completion in it its end has come to be, and through whose expositions and declarations, it is apparent to me that you will complete that which concerns you with this treatise, which is a part of the operation by hand, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation by hand is spread throughout our realm and in our time deprived of all, while the science of it greatly perishes, its visions are obscured, and nothing remains of it except a few small descriptions in the books of the ancients, which alter most things and lead to those errors and hesitations that are hidden within their minds, and the strength of the art is prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it appears to me that you will enliven that through the arrangement of this treatise in accordance with the way of exposition and declaration and abbreviation; and so that the forms of the tools of cautery and other instruments of the work come through addition of the declaration, and through preparation of them, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which no good artist is attained by his hand in our time is that the art of medicine is long, and that its performer must be exercised in the science of anatomy, which knows the parts of members and their forms, and the conjunction and separation of them; and has the knowledge of bones, nerves, and sinews, and the number of those, and their exit; and of the pulsating veins and the quiet ones, and the places of their issuing.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And because of that Hypocras says that by name is much, but in the work little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said that in the introduction of this book; for whoever is not learned in what we have said about anatomy is not evacuated so that he does not fall into error by which men will die, as I have seen many of those, for some are formed in this science and throw themselves from it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor open an abscess of scrofula on the neck of a woman, and cut some arteries of the neck so that much blood flowed, and the woman died under his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who, when he was called, pulled out a stone from a man who had a process in his state, and the stone was great, and he came to him and took out that stone with a piece of the bladder, and that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I called upon extracting that one, and I saw that because of the size of the stone and the disposition of the patient I knew he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took stipends from a duke of our land for surgery, and thus he did on a black slave whose leg was fractured; and prepared by his ignorance, extracted the fracture over the wound with powders and splinters with strong compression, and did not allow the wound breath.
