Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim. 
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have completed this book for you, which is the final part of medical science, for its perfection and completion at the end, and for its explanations and clarifications, it seems to me that I must present to you this treatise, which is a branch of manual operation, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because manual operation is neglected in our region and time, to the point that it greatly endangers medical science, and its practice is hindered; and nothing remains of it except a few brief descriptions in the books of the ancients, which are misunderstood by most people and lead them to error and hesitation while their minds are closed and their strength, skill, and art are extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is evident to me that I must revive it through the arrangement of this treatise according to a method of exposition, clarification, and abbreviation; also by adding drawings of cautery tools and other instruments required for the operation, as well as their explanations, which are necessary for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no good surgeon is found nowadays with a hand in our region is that medical art requires long training and its practitioner must previously be skilled in the science of anatomy which includes knowledge of the use of body parts, their forms, the way they are joined or separated from each other; the location of bones, nerves, and ligaments as well as their number and exit points; those veins that pulse and those that remain still, and also their locations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that it has a great name but a small effect, and especially in the treatment of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for those who are unaware of what we have discussed regarding anatomy, they may not be convinced and could fall into error, which has led to the deaths of many men, as I myself have witnessed such cases where some were learned in theory but lacked practical knowledge.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I once saw an inexperienced doctor accidentally cut into a woman's neck, severing some arteries and causing severe blood loss. Unfortunately, the woman died due to excessive bleeding.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I witnessed another case where a doctor was about to remove a large stone from a patient's bladder using part of the bladder itself. However, due to this procedure, the patient died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I was called upon to extract such a stone myself, and due to the size of the stone and the patient's condition, I knew that death would be imminent.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I observed another surgeon who received compensation from a duke in our land. This surgeon operated on an impoverished Black man with a fractured hip; however, due to the surgeon's ignorance, he removed the fracture directly over the wound, using powder and strong ligatures without allowing any air to reach the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the translation of the provided text: 
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon him; I prepared to remove the ligature and he achieved tranquility thus reducing his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if corruption has already taken hold in the limb and cannot be halted, it will continue to spread throughout the member until the patient is at risk.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I saw another doctor who punctured a cancerous abscess; it was ulcerated after some days and its malignancy increased significantly to the detriment of his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the tumour is pure of melancholic humour; it must not be treated by burning with iron but rather as a limb which suffers and should therefore be amputated.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And thus, my sons, it is necessary for you to divide the operation into two parts; one part is associated with health and healing, while the other involves riskier procedures which require careful attention.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already written this in every part of this book where the operation is fraught with danger and fear; it is essential for you to keep this in mind and leave that one behind so that its pages do not lead the way to slanderous speech about you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Under the care of God take your tools with diligence and compassion for patients, who require ease and comfort in their suffering.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best path towards salvation and praise-worthy success by the grace of God, leaving behind terrible illnesses that are difficult to heal, put aside your tools which cause fear, so that hesitation in your faith and reputation does not escape you: for greater is what remains for your glory here on Earth and beyond with the saints.
Gualia ja diyssec en alcunas sieuas monicios:	He already mentioned in some of his instructions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat an illness with evil methods, lest you become known as wicked doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins with the first chapter of the first part:
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the feet, ordering the tools and instruments of cauterization, as well as what is necessary for the operation.
La divisio de la segonda partida.	The second part division:
