Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim .
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, my sons, since I have completed this book for you, which is the final part of the science of medicine and its conclusions at the end, as well as its explanations and clarifications, it seems to me that I should complete with you this treatise, which is a branch of manual operation: surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because manual operation is neglected in our region and in our time to the point of being completely forgotten, while medical science itself faces serious dangers, and nothing remains but a few brief descriptions found in ancient books that are misunderstood by most people so as to lead them into error and hesitation; meanwhile, minds remain closed to new ideas and their strength and skills atrophy.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems to me that I should revive this treatise with a new organization based on explanation and clarification and through the use of abbreviations, as well as by providing drawings for cautery irons and other surgical instruments so that they may be understood more easily; these will facilitate understanding and are therefore necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why it is rare to find a good practitioner in these times is that the art of medicine requires extensive knowledge and training in anatomy so as to understand the functions of body parts and their shapes; how they join together or come apart; bones, nerves, tendons, and their numbers and configurations; arteries, veins, and pulsating vessels and those that are not pulsating; and where all these things emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that it is called by a big name, but its impact is small, especially in the area of manual work.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for whoever is unaware of what we have discussed about anatomy, will not be excused if they make mistakes that could lead to deaths, as I have witnessed many such cases, where some are well-versed in theory but lack practical knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor make an incision on a woman's neck to drain a scrofulous abscess, but he accidentally cut into some arteries in the neck, causing excessive bleeding, which resulted in the woman's death as she bled out.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I witnessed another doctor who was about to remove a large kidney stone from a patient's urinary tract and, in the process of doing so, accidentally cut into their gallbladder, which led to the patient's death within three days.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I was called upon to extract such a kidney stone myself, and I knew that due to the size of the stone and the patient's overall condition, they would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my translation of the provided text:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the translation of the provided text: 
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon, and prepared to loosen the ligature, which resulted in calmness and thus alleviated their pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if decay has already established itself in the member, and cannot be contained any longer, it will continue to circulate through the limb until the patient is endangered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I observed another physician who pierced a cancerous abscess, which had been ulcerated for several days, to the extent of amplifying its malevolence within its host.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the root cause of this affliction is that the affected area was filled with melancholy humour; therefore it should not be subjected to iron fully, but rather just enough for the member in question to endure.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my child, it is necessary that the operation be divided into two categories; one being operations which promote health, and another for those which carry risk in their execution.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already elaborated on this throughout the book where I mention operations that are full of errors and fear; it is imperative for you to keep these from view, so that they may not attract attention towards themselves or shame you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Under such circumstances take your tools with solicitude and protection from God, your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best method for God's grace to bring healing and praiseworthy success, leave behind the terrible diseases that are difficult to cure, and keep your tools away from what makes you afraid so that doubt does not escape in your faith or name: For it is better to stay true to your glory, even more so here on Earth than in front of your saints.
Gualia ja diyssec en alcunas sieuas monicios:	I have already dissected some of my observations:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad diseases in such a way that you become known as poor physicians.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
