Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have completed for you this book, which is the last of the science of medicine, to complete its purpose at its end, and through its explanations and clarifications, it seems to me that I fulfill my duty by giving you this treatise, which is part of manual operation, or surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because manual operation or surgery is neglected in our region and in our time, to the point that it endangers medical science itself, and its vestiges are opposed; there remain only a few small descriptions of it in the books of the Ancients, which modern scholars alter and thus lead people astray into error and hesitation while their minds are closed and its power and art are extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It seems appropriate to me that I revive it through the order of this treatise in accordance with the method of exposition, clarification and condensation; also by adding descriptions of the shapes of cautery instruments and other tools for the work as well as their application, and through preparation which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no good craftsman is found with his hand in these our times is that the art of medicine is long and its practitioner must first be trained in the science of anatomy, which involves knowledge of the joints of limbs and their shapes, and how they come together or are separated; as well as a grasp of bones, nerves and sinews, their numbers and locations; and of pulsating veins, quiet ones, and places where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this, Hippocrates says that it has a great name, but in practice, it is small, especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for one who does not understand what we have said about anatomy is not excused if he falls into error which can lead to the death of patients, as I have seen many such cases, because some are taught in this science without any knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor accidentally cut an eschar on the neck of a woman and he severed some arteries in the neck causing so much blood loss that the woman died while her maids held her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another doctor who was about to remove a stone from a man's bladder, and the stone was big. He cut into his belly and removed the stone along with a piece of his bladder, causing the man to die three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I was called to remove such a stone myself and I saw that due to the size of the stone and the condition of the patient, I knew he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Understood. Let me proceed with the translation: 
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Under these conditions, untie the patient according to his wishes and lay him down again, let this continue for several days and then command that we unfasten the bandage; thus he will remain until scabs form on the wound of thigh and foot so that they heal properly.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and as I proceeded to loosen the bandage, tranquility ensued which caused his pain to subside.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption had already set in the limb and I was unable to prevent it; this resulted in the infection spreading throughout his entire body until he was eventually beyond help.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	Then I saw another doctor who pierced a cancerous abscess for him which became ulcerated after several days; this greatly affected his master's health.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is because the patient's constitution is weak due to melancholy humour, therefore it would not be beneficial for them to endure ironing of all their limbs but only in the part which was suffering and should have been subjected to it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my child, it is necessary that you devise the operation in two ways: one which leads to the patient's health and another which poses danger if not done with care and skill.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here is the translation of the provided text: 
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Under the care of God take up your tools with solicitude, and treat your patients with ease and fortitude.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best method with God's grace for successful healing and praise, leave behind those terrible diseases that are difficult to cure, put aside your tools which make you fearful, so that doubt does not escape your faith and your name: for it is greater remaining in your glory, and higher in the world and beyond among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Guilbert has already said in some of his admonitions:
