Ayssi comensan las paraulas de Albucasim .	Here is my translation of your provided text: 
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, sons, since I have completed this book for you, which is the final work on the science of medicine, due to its completion and explanations, and also because it includes descriptions and declarations [of medical knowledge], in my view I must complete that treatise for you, which is a part of manual activity called surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because manual operation is totally neglected in our region and at this time, while there is great danger to the science [of medicine], and its traces are obscured; and what remains of it are only a few small descriptions in the books of the Ancients, which have been altered by most and lead to error and hesitation, as understanding is closed off and force and art are elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is clear to me that I must revive it through the ordering of this treatise according to the method of exposition, declaration, and abbreviation; and also by providing images of cautery tools and other instruments used in the operation as well as adding declarations and preparations, which are necessary causes.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why a good artisan is rarely found these days is that the art of medicine is long and requires its practitioner to be well-versed in the science of anatomy first, which involves understanding the joints of the limbs and their forms, as well as their connections and separations; and knowledge of bones, nerves, and sinews, along with their numbers and exits; and of the pulsating veins and quiet ones, and the places where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so Hippocrates says that it has a great name but small action, and especially in the area of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for whoever is not knowledgeable about what we have discussed regarding anatomy, they are not excused from falling into error which has caused the death of many people, as I myself have seen too many of those who are trained in this science but neglect their knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I saw a foolish and inexperienced doctor mistakenly make an incision on a scrofulous abscess located on the neck of a woman, and they cut some arteries in the neck causing great bleeding until the woman died while her maids were holding her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another doctor who was about to extract a stone from the bladder of a man who suffered this condition; the stone was large so it tore part of his bladder when extracted causing him to die after three days.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already been called upon to extract such stones and I saw that due to the size of the stone and the condition of the patient I knew they would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my translation of the provided text: 
