Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, since I have completed this book for you, which is the final work on the science of medicine, due to its comprehensiveness and its explanations, and because of its clarity, it seems fitting to me that I present to you this treatise, which is a part of practical knowledge or skill by hand, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because practical skill by hand is almost entirely neglected in our region and at this time, to the point that it endangers the science itself, and its vestiges are obscured; there remains of it only a few small descriptions in the books of the Ancients, which modern scholars have distorted, leading them into error and hesitation, while their minds remain closed and their abilities weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is clear to me that I must revive this skill through the organization of this treatise according to a method of exposition and explanation, as well as by abbreviation; and so that it may be accompanied by illustrations of cautery instruments and other tools necessary for the work, both through additional explanations and through preparation, which are essential.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why there are no good practitioners of this skill in our time is that the art of medicine is extensive and demands that its practitioner first be well-versed in the science of anatomy, which includes knowledge of the joints and their forms, as well as their connections and separations; an understanding of bones, nerves, and sinews, including their numbers and origins; and an awareness of pulsating veins, quiet ones, and where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And regarding this, Hippocrates says that it has a great name but little effect in practice, and especially so in the skill of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for one who is not knowledgeable about what we have discussed regarding anatomy, it is unlikely that they will avoid falling into error which has caused the deaths of many men, as I myself have witnessed numerous such instances, where some are educated in this science but lack knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I witnessed a foolish and inexperienced physician accidentally incision an abscess on the neck of a woman, severing some arteries in the process which led to a great flow of blood until the woman bled out and died while her maid held her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another physician who was about to perform an operation on a man with kidney stones and the stone was large; however, he was stopped and shown mercy by extracting that stone along with a piece of his bladder, which caused the man's death three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I have already been called upon to extract such a stone and observed that due to the size of the kidney stone and the condition of the patient, I knew he would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my translation of the provided text:
