Ayssi comensan las paraulas de Albucasim .	Albucasis begins his treatise as follows: 
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, my children, now that I have completed this book for you, which is the ultimate guide to medical science, achieving its goal at its end and with its explanations and clarifications, it seems fitting to me to present this treatise on surgery to you as part of the practical aspect of medicine.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since manual surgery is neglected in our region and our time, to the extent that it endangers medical science itself, and its remnants are suppressed; only a few brief descriptions remain in the books of ancient scholars, which have been distorted by others leading to errors and hesitancy, as their minds are closed and their abilities stunted.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	It is my intention to revive and organize this treatise according to a systematic approach of explanation, clarification, and concision; additionally, through illustrations of cautery tools and other surgical instruments as well as with supplementary descriptions and preparatory steps, which are essential prerequisites for the procedure.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why skilled artisans are lacking in this field during our time is that the art of medicine is lengthy and demands a prior extensive knowledge of anatomy so as to understand the nature of body parts, their forms, how they connect and separate; bone structure, nerves, tendons, their numbers, origins and insertions points; pulsating and quiet veins, as well as the locations where these may be found.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that its name is great, but in practice it is small, and especially in the skill of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned this in the introduction of this book; for one who is not knowledgeable about what we have discussed regarding anatomy, may fall into error and cause death to many people, as I myself have seen numerous such individuals, who are learned in theory but lack practical knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I witnessed a foolish and inexperienced physician accidentally cut into an abscess with scrofulous characteristics on a woman's neck; he severed some arteries in the neck, causing a great flow of blood, and as a result, the woman bled to death while her maids held her.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	I saw another physician who was about to remove a stone from a man's bladder; the stone was large and it damaged his viscera during the procedure, ultimately causing his death three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I was called upon to remove it, but I knew from the stone's size and the patient's condition that he would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	Here is my best attempt at translating the provided text: 
