Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, son, since I have completed for you this book, which is the last of the science of medicine,  its completion having reached its end, and through its expositions and declarations, it seems to me that I should fulfill my obligation to you with this treatise, which is a part of hand surgery, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because hand surgery is almost entirely lost in our region and in our time, so that its science is greatly diminished and its practice ceased; and nothing remains of it but some brief descriptions in the books of the Ancients, which are mostly altered and have led to errors and hesitation, so that their intentions are obscure and their power and art weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive it with the ordering of this treatise, according to the method of exposition, explanation, and abbreviation; and so that it may come with the forms of cautery instruments and other surgical instruments, as it should be, by means of added explanation and preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a skilled artisan with his hands is not found in our time is that the art of medicine is extensive, and its practitioner must first be practiced in the science of anatomy, which knowledge is necessary so that he knows the positions of the members and their forms, and their connections and separations; and has knowledge of the bones, nerves, and ligaments, and their number and arrangement; and of the pulsating and quiet veins, and the places of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that in name it is much, but in practice little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of this in the introduction to this book; for whoever is not knowledgeable in what we have said concerning anatomy is liable to fall into error by which men will die, as I have seen many of them, because some are trained in this science and practice it without knowledge and without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced physician incise a scrofulous abscess in the neck of a woman, and he incised some arteries of the neck, so that much blood flowed until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who undertook to remove a stone from a man who was advanced in years, and the stone was large, and he came to him and extracted that stone along with a piece of the bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I was called to extract it, and I saw that because of the size of the stone and the condition of the patient I knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who received a stipend from a duke of our land for surgery, and a black slave came to him who had a fracture in his thigh; and the physician, through his ignorance, extracted the fracture, over the wound, with pads and splints with tight binding, and did not allow the wound to breathe (to heal).
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he unbound it according to his wishes, and then he bound it again, and then he left it like that for some days and commanded that we not unbind the binding; and it remained thus until the thigh and foot were suppurated, and it came to ruin (the patient died or suffered permanent damage).
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to unbind the binding, and tranquility was achieved and thus a lessening of his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, the corruption was already confirmed in the limb, so that I could not restrain it, and the corruption did not cease to spread in the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who perforated a cancerous abscess, and it was ulcerated for some days, until the malignancy of it was magnified by its lord (the infection worsened significantly).
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the burning cancer is pure melancholic humor, therefore it should not be approached with iron at all, but rather it should be in a limb which can be completely amputated (or otherwise entirely removed).
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, son, it is necessary for you that the operation by hand be divided into two parts: that is, into an operation which is associated with health, and into a work in which there is peril in the most favorable conditions (or, "...in the best of circumstances").
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already explained this in every part of this book where an operation occurs that involves error and fear; therefore, it is necessary for you to observe this and leave that, so that fools do not find a way to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take up your instruments with diligence and with God's protection, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method, by the grace of God, leading to health and laudable success, and avoid terrible diseases of difficult healing, and abstain from those things that make you fear, so that hesitation in your faith and in your name does not overcome you: for it is more lasting for your glory, and higher in the world and in the hereafter for your holiness.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said in some of his admonitions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad disease, lest you be called a bad physician".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head, down to the feet, the forms of instruments and the cautery irons, and what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of incisions and perforations, and of cupping glasses, and of wounds, and of the extraction of arrows and similar things, all chaptered and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and of dislocations, and of the treatment of sprains and similar things; a chapter ordered from head to foot, and of the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and with sharp medicine and the recollection of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I say the quality of the benefits of that cautery and of the harms from it, and in what constitution cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the quality of the benefit of cautery and the harm from it is a long and prolix discourse, and subtle in science, and a hidden secret; and already a great multitude of wise men have spoken of it, and they have disagreed about it, and a little of their discourses suffices for me, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery benefits all complexions universally, which are with matter or without matter, except for two complexions, which are hot complexions without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the hot and dry complexion with matter, there is disagreement; for some say that cautery is beneficial to that, and others say the contrary, that cautery is not convenient in a disease which is by quality and by dryness, because the nature of fire is quality and dryness, and it is inconvenient that a hot and dry disease should be healed with that which is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I refute those who say the contrary, that benefit is done by cautery in every hot and dry disease that comes to the bodies of men, because when you compare the body of man and its humors to the complexion of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say, concerning this discourse, that experience has revealed this to me several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not fitting that this should apply to someone who is already experienced and practiced in the chapter on cautery from prior exercise, and who has recognized the diversity of the complexions of men and the disposition of the diseases themselves, and their causes, and their accidents, and the duration of those diseases.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexions, there is no fear for you, and especially in cold and humid diseases, because all doctors are agreed on those, and are not in disagreement about the benefit of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing by cautery with fire, and its goodness, is superior to cautery with a burning medicine, because fire is simple, whose action does not reach except to the member which is cauterized, and does not harm another member near it except with slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine reaches even those members which are distant from it, and quickly brings about in the member a disease of difficult healing and quickly kills.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its sublimity and the goodness of its substance, does not do this except insofar as it is superfluous. And it is known to us through experiment and long service of study in the art concerning the truth of the causes; and for that reason I am excused from the length of discourse. And if it were not that it is not appropriate for my book to pause here, I would reveal to you the secret of fire, and the quality of its operation in the body and of its expulsion whereby it expels diseases, with philosophical demonstrative discourse, which would be burdensome for your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree about the time in which it is convenient to perform cautery, placing springtime as the best time.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm caused by accidental timing is overwhelmed by the benefit that is obtained with cautery, and especially if the cautery is for necessary, strong, and sudden pains, which do not permit delay because it is feared that greater harm will come from waiting than the slight harm incurred due to timing.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this, my sons, is not understood except by the vulgar populace and foolish physicians, namely that there is no appropriate time for a disease that is healed by cautery, and they base this on that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they believe it to be, for cautery is nothing but a kind of medicine which alters the complexion and dries the humors which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cautery is superfluous over other medicine because of the speed of its effectiveness and the power of its action and the greatness of its Lord (i.e., its efficacy is so great that it renders other medicine unnecessary).
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness may return at some time, depending on the patient's constitution and the location of their illness, and their strength, and what is prepared in their body from the accumulation of superfluities within them, and what has reached them through their intake of food and similar causes; unless the illness to which cautery is administered is a subtle illness in a limb with few superfluities and humors, such as cautery of a tooth for pain and similar cases, it is possible that the pain will not return, but this happens rarely.
