Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have completed this book for you, which is the last of the science of medicine, by completing it I have reached its end, and through its expositions and declarations, it seems to me that I have fulfilled it for you with this treatise, which is a part of the surgical operation with my hands.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the surgical operation is widely neglected in our region and our time, the science of it is greatly endangered, and its practice is lost; and there remain only some small descriptions in the books of the Ancients, which have misled many and led to error and hesitation, so that understanding of it is obscured and its strength and art are diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revitalize it [the surgical operation] through the organization of this treatise, in accordance with the method of exposition, declaration, and summarization; and so that it will be made clear through the descriptions of cautery instruments and other tools of the craft, both by adding explanations and by preparing them [the tools], which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason why a skilled artisan with his hands is not easily found in our time is that the art of medicine is extensive, and its practitioner must first be practiced in the science of anatomy, which includes knowledge of the locations and forms of the body's parts, their connections, and separations;  and must have knowledge of the bones, nerves, and tendons, their numbers and courses; and of the pulsating and still veins, and the locations of their exits.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates said that with a name it is much, but in the work little, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this in the introduction to this book; for whoever is not knowledgeable about what we have said concerning anatomy, cannot be certain of not falling into an error that will cause people to die, as I have seen many such cases. For some are trained in this science but abandon it without experience or knowledge.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and unskilled surgeon inadvertently open a scrophulous abscess on a woman's neck, and severed some arteries in her neck so that a great deal of blood flowed, causing the woman to die in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another surgeon who claimed to have removed a stone from a man who had suffered from this affliction for a long time, and the stone was large.  He went to the man and removed the stone, taking some of the bladder tissue with it, and the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I, having already tried to stop it, saw that because of the size of the stone and the patient's condition, I knew beforehand that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another surgeon who received payment from a duke in our land for surgery, and he went to a blackguard who had a fractured thigh; but because of the surgeon's ignorance, he treated the fracture, placing the wound over pads and splints with excessive tightness, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he, according to his desires, set it, rejoined it, and left it for a few days, and ordered that the ligament be released.  And it remained like that until the thigh and foot became abscessed and succumbed to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and proceeded to release the ligament, and thus tranquility and relief from his pain were achieved.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption had already taken hold in the limb, so I could not stop it, and the corruption continued in the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who opened a cancerous abscess, and it ulcerated for several days, until its malice was magnified with the patient's suffering.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Since cancer is pure melancholy humor, it should not be treated with a total iron cauterization but rather on a limb where it is sufficient to remove the disease.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	Therefore, children, it is necessary for you that the surgical procedure be divided into two parts: one, the operation that is associated with health, and the other, the work which carries peril in the most important situations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already shown this in every part of this book where there is an operation that includes error and fear.  Therefore, it is necessary for you to watch this and leave that behind, so the pages may not find a way to speak and to disgrace you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take your tools with diligence and with God's protection, and your patients with skill and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best path, through God's grace, leading to health and praiseworthy success, and leave behind the terrible illnesses of difficult cure, and remove from your tools that which makes you fear, so that your work in your faith and your name will not be wasted: for more remains for your glory, and higher in the world and behind your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Gualia already said in some of his teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a serious illness, lest you be called bad doctors".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered from head to foot, describes the types of instruments and cautery irons, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on cutting and piercing, cupping, poultices, the removal of arrows and similar objects, is entirely about the various types of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoring and dislocating, and on treating twists and similar injuries;  ordered from head to foot, and concerning the types of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterization with fire and sharp medicine, and a reminder of the procedure.
Am aquel comensa le tractat de tot le libre.	With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I describe the benefits and harms of this cauterization, and in which temperament it is forbidden.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discussion of the benefits and harms of cauterization is long, detailed, scientifically subtle, and secretly hidden; and many learned individuals have already spoken about it, and disagreed, and it suffices for me to take a little from their discussions, fearing to prolong this.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization is beneficial to all temperaments universally, whether with matter or without matter, except for two temperaments, which are hot temperaments without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the hot and dry temperament with matter, there is disagreement; for some say that cauterization is beneficial to it, and others say the contrary, that cauterization is not suitable for an illness that is due to heat and dryness, since the nature of fire is heat and dryness, and it is inappropriate for a hot and dry illness to be treated with something that is also hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite argue that cauterization is beneficial in all hot and dry illnesses that affect the body, because when you compare the body's moisture to the nature of fire, you find the body to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say, based on this argument, that experience has revealed this to me several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, this should not be taken up by one who is not experienced and practiced in the chapter on cauterization through prior exercises, and who has not known the diversity of human temperaments and the nature of illnesses themselves, their causes, their symptoms, and the time-frame of these illnesses.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other temperaments, you have no fear, and especially in cold and moist illnesses, for all physicians have agreed upon these, and are not divided on the use of cauterization in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing through cauterization with fire, and its effectiveness,  is in contrast to cauterization with medicinal burning agents, because fire is simple, its action only affecting the member being cauterized and not harming the adjacent member, except perhaps with little harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicinal burning agents reaches the members further away, and easily brings illness of difficult healing to the afflicted member and easily causes pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its superior nature and beneficial substance, does not do this, but rather it simply burns. And this is known to us through experience and a long study of the art, concerning the truth of the causes; therefore, I am excused from the length of this speech.  And if it were not that this is not found in my book on this subject, concerning the hidden secrets of fire, and the nature of its operation on the body and its expulsion of illness, with a philosophical demonstration, which would be beneficial to your understanding.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree on the time when it is best to perform cauterization, and they consider spring the best time.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is appropriate at all times, because the harm caused by the passing of time is overshadowed by the benefit derived from the cauterization, and especially if the cauterization is for severe, sudden pains or necessary ones, which cannot tolerate delay because the feared harm may be greater than the minor harm caused by time passing.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this is not considered by you, children, or by foolish doctors, because it is understood that the illness cured by cauterization does not have a fixed time for treatment, and they disregard that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not at all as they imagine, for cauterization is not simply a place for medicine, but rather an alteration of the constitution, drying out the moisture which is the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cauterization is superior to other medicine because of its power, efficacy, and the greatness of its effect.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time, according to the patient's constitution, the location of their illness, the body's disposition, and the accumulation of superfluities within them, as well as what they have ingested in food and similar matters. However, if the illness for which cauterization is administered is a minor one, affecting only a small area with little superfluity and moisture, like a toothache or similar situations, then it's possible the pain will not return, but this happens in small cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cauterization is the final remedy in medicine, and that is a true statement, not as they understand it, for they believe there is no cure that is as effective as cauterization, or with any other means.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the truth is the opposite; the idea that cauterization is the last resort in medicine is only true when administering treatments for certain illnesses, and those treatments aren't effective.  It is only at the end, as a final measure, that cauterization is applied, and then it can be effective.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Therefore, the statement that cauterization is the last resort in medicine, is not true according to the understanding of the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than cauterization with iron, and they said this only because of the purity and superior substance of gold.
