Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasis. 
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, son, since I have completed for you this book, which is the last on the science of medicine, by its completion its purpose is achieved, and through its expositions and declarations, it seems to me appropriate that I complete it for you with this treatise, which is part of the practice with the hand, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the practice with the hand [surgery] is neglected in our region and in our time completely abandoned, so that its knowledge will soon be lost, and its vestige removed; and nothing will remain of it but a few small descriptions in the books of the Ancients, which will mislead the hands and lead those [who practice it] into error and hesitation, so that its meanings are obscured and its strength and art diminished.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me appropriate that I revive it [surgery] with the organization of this treatise, according to the way of exposition and declaration and abbreviation; and that it comes with the forms of cautery instruments and other instruments of the work, as well as the addition of the explanation, and its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good craftsman with his hand [skilled surgeon] is found in our time is because the art of medicine is long, and its practitioner must first be trained in the science of anatomy, which includes knowing the positions of the limbs and their shapes, and their connection and separation from each other; and have knowledge of the bones, nerves, and muscles, and their number, and their origin; and of the pulsating and quiet veins, and the locations of their exits.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates said that with one name there is much [said], but in practice little, and especially in the art of the hand [surgery].
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of this in the introduction to this book; for whoever is not knowledgeable in what we have said about anatomy, it is unavoidable that they will fall into error, by which men will die, just as I have seen many of them, because some are instructed in this science and throw themselves into it without knowledge and without experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and ignorant physician incise a scrofulous abscess on the neck of a woman, and cut some arteries of the neck so that much blood flowed until the woman fell dead in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who intended to extract a stone from a man which had developed in his age, and the stone was large, and he came to him and pulled out that stone with a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I was called to extract it, and I saw that because of the size of the stone and the condition of the patient, I realized that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who received a stipend from a duke of our land for surgery, and it happened to a black eunuch who had a fracture in his thigh; and the physician, in his ignorance, prepared the fracture, on the wound, with cushions and splints with strong tightening, and did not allow the wound to breathe.
