Ayssi comensan las paraulas de Albucasim .	Certainly. Here's the translation:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have now finished this book, which is the last of the science of medicine, out of love for you and for your profit, and for the exposure of your works, and for the pronouncements of your works, behold that I must teach you that which I have learned to you in this book is part of the art of healing, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the art of healing is much more recent in our region and in our time than in the past, since it is full of perils and is most secret; and its secrets are not to be divulged except for a few small descriptions in the books of the Ancients, which alter the greatest things and bring about many errors and suspicion, since they do not understand their meaning and extend the power and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I have composed this treatise in such a way as to follow the way of exposition and declaration and brevity; and that in order to make clear the forms of the instruments of cautery and other instruments of the work, as well as for the addition of the declaration, and for preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The greatest cause why one does not find a good artist in our time who is able to practice surgery is that the art of medicine is long, and that it requires a great actor who has been exercised in the science of anatomy, who knows the parts of the limbs and their shapes, and the connection and separation of them; and who has knowledge of bones, nerves and veins, their number and their course, and the sensation of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And as Hippocrates says, I who have no name, more in small works, and most in the art of the hand
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And as it was said at the beginning of this book, whoever is not learned in anatomy is not worthy of the name of a physician, for they will fall into error and cause the death of men, as I have often seen happen, for many are formed in this science and abandon it for this science and its experiments
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and ignorant physician who, having incsed an abscess in the groin of a woman, cut several arteries of the groin so that a great amount of blood flowed, and the woman died between her thighs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who thought he could pull out a stone from a man's belly which he had left there in its time, and the stone was great, and he went to him and cut that stone out with a piece of bladder, and on the third day the man died
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already said that we must flee from such things, and I see that because of the greatness of the stone and the condition of the patient, we must know that he will die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another physician who took care of a duke from our land for surgery, and he owed him to a black slave who was in debt to him; and the physician, in his ignorance, closed the fracture of the thigh with sponges and pins with great force, and did not allow the wound to breathe.
