Ayssi comensan las paraulas de Albucasim .	Certainly! Here's the translation:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, children, since I have now completed this book, which is the latest work of the science of medicine, by the grace of God and the diligence of its followers, and by the proofs it offers, and by the declarations it makes, it seems to me that I must explain this treatise to you, which is part of my art, that is, surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For in our age and in our land surgery is a perilous art, since great learning is required for its practice, and its secrets are very secret; and few men understand them except for a few small descriptions found in the works of the Ancients, which change everything and completely overturn the old errors and hesitations until they are explained clearly and the power of the art is extended
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I have composed this treatise in such a way as to follow the way of demonstration and explanation and abbreviation; and that it may be useful to the forms of the instruments of cautery and other instruments of the work as well as for the addition of the declaration and for the preparation of the patient, which is necessary
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the most important reason why no good artist can be found in our age in this our time is that the art of medicine is long, and that it requires a great actor who has been exercised in the science of anatomy, who knows the structure of the limbs and the form of these, and the joints and their separation; and who has knowledge of bones, nerves and vessels, their number and their location, and of the pulse and veins, and the seat of their sensation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus speaks Hippocrates, that in my name there is no lie, even in small matters, and especially in the art of the hand
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And as I have said at the beginning of this book, he observed that he who is not learned in anatomy is not worthy of the title of physician, for he will certainly cause the death of many men through his errors, for many have perished from this very ignorance, for they have learned this science and abandoned the other.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish physician who, having incised an abscess of scrofula in the groin of a woman, has incised several arteries of the groin in order that much blood should flow, and the woman died between her legs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who took hold of a stone from a man who had had it in his belly for a long time, and the stone was great, and when he came to take it out he pierced it with a piece of glass, and the man died three days later
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already mentioned this, that in such cases I know of no other remedy but to take away the stone, for the greatness of the stone and the condition of the patient makes death certain
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another physician who took charge of surgery for a duke from our land, and he owed his position to a black slave who had been accused of breaking his leg; and the physician, in his ignorance, attempted to heal the fracture with sponges and bandages, without allowing the wound to breathe.
