Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O offspring, know that I have completed this book for you, which is the last of the science of medicine, for the praise of it, and for the praise of its practices, and for the pronouncements of its author, it is because I wish to instruct you in this book that which is part of my art, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For surgery is very rare in our region and in our time, so that it is a thing that is almost lost; and its knowledge is very little, and the greatest part of it has perished; and it remains only a few small descriptions in the books of the Ancients, which change most of all and bring about those errors and hesitations that exist until their causes are understood and the force and the art are prolonged
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen by me that I have composed this treatise in such a way as to follow the way of exposition and declaration and abbreviation; and that it should be added to the forms of the instruments of cautery and other instruments of the work, as well as for the addition of the declaration, and for the preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause why no good artist is found in this our time for the surgery of the hand is that the art of medicine is long, and that it covers many actors who have not been exercised in the science of anatomy, who do not know the bones, the nerves, and the lacerations, and the number of them, and their structure; and the knowledge of the veins and arteries, and the places of their origin and termination.</start_turn>
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus says Hippocrates that I have no name, but in the small work more than in the great work, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	And indeed we have already said in the introduction of this book that whoever is not learned in anatomy is not worthy of being called a physician, for they will cause the death of many men, as I have seen in many instances, for many of them are formed in this science and depart from this science and its experiments.</start_turn
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inept physician who has incised a scrofula on the heel of a woman, and has ligated some arteries of the heel so that there flowed great blood within her, and the woman died between her thighs.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who thought he could pull out a stone from a man’s belly which had been there for a long time, and the stone was large, and he came to take it out with a hook, and the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already mentioned this, and I saw that because of the greatness of the stone and the condition of the patient, he knew that he would die
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I have seen another physician who took charge of surgery for a duke from our land, and he entrusted him with a black slave who was his servant; and the physician, in his ignorance, opened the fracture, over the wound, with sponges and sticks of great strength, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus I forbade him according to his desires, and I released him, and I commanded that he should be relieved for a few days and be given rest; and this happened until the wound burst out, and he perished
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I went to see him, and I saw that I had to take away the ligature, and there was peace and an end to the pain.</start_turn><end_turn>
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was already confirmed in the limb, for I could not restrain that, and I did not cease to wander the corruption in the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another physician who perforated an abscess of cancer, and it bled profusely from the beginning, until the malignancy of it grew greater than that of the master of the house
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that cancer is pure melancholic humor, and that it does not suffice to remove it from the limb in which it has settled, but that it must be treated in the limb in which it is to be found.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And thus, offspring, it is necessary for you that the surgery of the hand be divided into two parts: that is, in surgery which is associated with health, and in work which is perilous in the greatest precautions
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already spoken of this in all places of this book in which I have mentioned surgery in which there is error and fear; for it is necessary for you to retain this and to leave that, so that the fools do not find fault with you and you do not become discouraged.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take the rest of the arms in the request and in the protection of God, and the rest of the diseases in the facility and in the firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	E use the way of the Lord in grace, and praiseworthy succession, and lay aside the grievous diseases of difficult healing, and finally the other weapons of that which you fear, so that your salvation may rest in your faith and in your name: for may your might remain to your glory, and above all in heaven and behind the saints.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already mentioned several times in various discourses:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“There is no medicine for a bad disease, so that no doctor will be called by that name”.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already discussed this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the parts of the foot, in the forms of instruments and the utensils of the cautery, and what is necessary for the operation
La divisio de la segonda partida.	Division of the second part
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with swelling and perforation, and of blisters, and of wounds, and of the extraction of arrows and similar to those, all categorized and ordered by the forms of the instruments
Divisio de la tersa partida.	Division of the third part
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with restoration and dislocation, and with the care of fractures and similar to those; the chapter is categorized from the head to the foot, and by the forms of the instruments
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery and acute medicine and reminder of the operation
Am aquel comensa le tractat de tot le libre.	In that in which the treatise of all the book begins
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	So I say what is the quality of the instruments of that cautery and of their documents, and in what combination it is prohibited to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the cautery instruments and their documents is a long and elaborate one, and subtle for science, and a secret hidden; and already many savants have spoken greatly of it, and they have disagreed with each other, and to me it seems that a small part of their speeches is sufficient, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that cautery is permissible in all its universality with regard to its matter or its matter, except for two qualifications, which are qualifications that refer to its matter
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry matter there is disagreement; for some say that cautery is useful for that, while others say that it is harmful for that, because the nature of fire is quality and dryness, and it is inconvenient that the disease be cold and dry along with that which is being cauterized and dried.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite, that by cautery is useful for any cold and dry disease that is in the bodies of men, because when you compare the body of a man with the humidity of his body with the quality of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this speech that I have already experimented with it several times and discovered it
