Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, because I have completed this book for you, which is the last of the science of medicine, by the fulfillment of it, its end is achieved in it, and by its expositions and declarations, it is my view that you complete it with this treatise, which is a part of the operation with me, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with me is spread in our region and in our time completely private, while many risk the science of it, and its vestiges are held hostage; and there remain of it only some small descriptions in the books of the Ancients, which muddle the most and lead to those errors and uncertainties because their clauses are understood and the force of it and the art are lengthened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it is seen to me that you bring to life that with the order of this treatise according to the way of exposition and declaration and abbreviation; and for that it may come with the forms of the tools of cautery and the other instruments of the work as it is for the addition of the declaration, and for the preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which no good artificer with his hand is found in this our time, is that the art of medicine is long, and that it compels its actor to be exercised before that in the science of anatomy, which reconciles Gualia because it knows the movements of the members and their forms, and the conjunction and separation of them; and to have the knowledge of the bones, nerves and arteries, the number of them, and the egress of them; and of the pulsatile and quiet veins, and the places of the emission of them.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason, Hippocrates says that in a name is little, but in the work much, and most of all in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But now we have already said that in the introduction of this book; because whoever is not aware of what we have said of anatomy, is not evacuated that he does not fall into error for which many men die, so as I have seen many of those, some are formed in this science and cast themselves away from that science and their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because I saw a foolish and inexperienced physician who had incised a scrophulous abscess in the neck of a woman, and incised some arteries of the neck so that much blood flowed while the woman died among the hands of him.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another physician who prescribed that the patient swallow a stone from a man who had processed in his state, and the stone was large, and it came to him and extracted that stone with a piece of the bladder, so that the man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already been called to extract that, and I saw that because of the size of the stone and the disposition of the patient, I knew above him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was taking a stipend from a duke of our land for surgery, and he was given a black crutch who was broken in his thigh; and prepared the physician with his ignorance, I extracted the fracture, on the wound, with splints and splints with strong structure, and did not leave the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he set it according to his desires, and he reattached it, and then he left it for some days and commanded that we untie the ligament; and it was so that the thigh and the foot became festered, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I appeased him to untie the ligament, and achieved tranquility and then eased his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, the corruption had already been confirmed in the limb, so that I could not restrain it, and it did not cease to wander the corruption in the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who perforated a cancerous abscess, and it became ulcerated after some days, until the malice of it was magnified to its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cancerous caut is pure of melancholic humor, so that it does not come to it with iron of all, but that it be in a limb the one which suffers that of all it be held hostage.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation with me be devised in two divisions: so it is in the operation which is associated with health, and in the work with which there is peril in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already established this in every place of this book in which I present an operation in which there is error and fear; because it is necessary for you to guard this and leave that, so that the foolish do not find a way to speak and to dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take your arms with diligence and with the protection of God, and your patients with facility and with firmness.
