Ayssi comensan las paraulas de Albucasim .	Thus begins the vocabulary of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, I have completed this book for you, which is the last of the science of medicine, in order to fulfill its purpose and due to its expositions and declarations, I believe that I have completed this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The surgery of the mother is prohibited in our region and time, until recently, when the science of it was revealed, and its evidence is now established; and no one practices it except a few small descriptions in the books of the Ancients, which were most harmful and led to errors and doubts until the understanding of it was closed and its force was prolonged and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I believe that I have lived according to the order of this treatise in the second way of exposition and declaration and abbreviation; and because it comes with the forms of the tools of the cautery and of the other instruments of the work, as well as for addition to the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the cause for why an artist was not skilled in their own hand was because the art of medicine is long, and it is necessary to exercise that skill in the science of anatomy, which Gallus discovered before knowing the importance of the members and the forms of those, and the conjunction and separation of them; and having knowledge of the bones, nerves, and ligaments, and their number, and their breadth; and of the pulsating veins and quiet vessels, and the locations of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates said that one name is not enough, but in the work, it is smaller, and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Because we have already mentioned that one in the introduction of this book; for those who do not know what we have said about anatomy, will not avoid falling into error by which many men have died, as I have seen too many of those, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor was called to see a woman who had developed an abscess of the neck, and had also injured some arteries in the neck causing great blood loss, resulting in the woman dying among her companions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw a man who had been stabbed with a stone from a house that had been built, and the stone was large, and it came to him and removed that stone from his body through a small incision, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already been called to extract that, and saw that due to the size of the stone and the position of the patient, it was known that she would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took the salary of a duke from our land for surgery, and went to an experienced blacksmith who was skilled in setting bones; and because of his ignorance, the doctor removed the fracture, on the plate, with pins and nails with strong structure, and did not allow the bone to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then gradually remove the bandage according to his wishes, and then remove the dressing, and then the leech for several days and nights, and command that we remove the bandage; and this is when the wound and the foot become infected, and reach a dangerous state.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then apply it to him, and prepare to remove the bandage, and thus achieve peace and relieve his pain.
