Ayssi comensan las paraulas de Albucasim .	And so begins the vocabulary of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, I have completed this book for you, which is the last of the science of medicine, in order to fulfill its purpose and for its explanations and for its declarations, it seems to me that I have completed what I promised you in this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of the umbilical cord has been completely forgotten in our region and in our time, until recently when the science of it was rediscovered, and its evidence is now established; and no one knows about it except some small descriptions in the books of the Ancients, which were lost and led to errors and uncertainties until the understanding of it was established and its length was extended and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that I should arrange this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and of the other instruments of the work, which is necessary for addition to the declaration, and for preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why an artist was not considered skilled in their own body was because the art of medicine is long, and it is necessary to be exercised in the science of anatomy, which was rediscovered by Galen before he knew the joints of the members and the forms of those, and the conjunction and separation of them; and also the knowledge of bones, nerves, and cartilages, and their number, and their hardness; and of pulsating veins, quiet veins, and the locations of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason, Hippocrates said that a name is not important, but in the work, it is more important in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Because we have already mentioned that one in the introduction of this book; for those who do not know what we have said about anatomy, they are not exempt from falling into error by which many men die, as I have seen too many of those, because also they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor saw a woman who had suddenly developed an abscess called an aneurysm in her neck, and it had pierced some of the neck's arteries, causing a large amount of blood to flow into her, she died between their hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the thorn of a man who had died was stuck in his state, and the thorn was large, and he came to him and tried to remove that thorn with a hook, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already tried to remove it, and saw that because of the size of the thorn and the position of the patient, he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took the wages of a duke from our land for surgery, and went to a skilled blacksmith who was needed for his fracture in the patient's body; and because of the doctor's ignorance, he tried to remove the fracture, above the wound, with pillows and crutches with strong structure, and did not leave the wound open.
