Ayssi comensan las paraulas de Albucasim .	And now we begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, students, I have completed this book for you, which is the last of the science of medicine, in order to achieve its purpose and due to its explanations and declarations, it seems to me that I have fulfilled my promise to you to complete this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of midwifery has been completely forgotten in our region and time, until the science of it was lost, and its evidence was not preserved; and no one knows about it except some small descriptions in the books of the Ancients, which were misunderstood by those who practiced it at that time before the understanding of it was closed and its strength and art were extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I have arranged this treatise in the second method of explanation and declaration and abbreviation; and because of the forms of the tools of cautery and other instruments of the work, as well as for addition to the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a surgeon was not immediately skilled in their craft in our time is because the art of medicine is long and complex, and it requires practice in the science of anatomy, which was rediscovered by Galen before he knew the important parts of the limbs and their forms, and the conjunction and separation of them; and also knowing the bones, nerves, and ligaments, and their number, and their hardness; and of the pulsating veins and quiet ones, and the locations of their essence.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	As Hippocrates said that one name is not enough, but in the work, it is smaller, and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have not already said about him in the introduction of this book; because those who do not know what we have said about anatomy, cannot avoid falling into error, by which many men have died, as I have seen too many of them, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor saw a woman who had been infected with a phlegmon in the neck and had punctured some neck arteries, causing great blood loss that led to her death between her hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the stone was very large and had passed through the urethra of that man, who died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already tried to remove it and saw that due to the size of the stone and the position of the patient, he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor saw that a duke of our land had been injured by surgery, and he went to a skilled blacksmith who was skilled in the area of the fracture; and because of his ignorance, the doctor removed the fracture, over the wound, with pillows and strong structures, and did not let the wound breathe.
