Ayssi comensan las paraulas de Albucasim .	And now begins the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, I have completed this book for you, which is the last of the science of medicine, by the completion of its goal in it, and by its explanations, and by its declarations, it seems to me that I have completed that which I loved for you in this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of midwifery has been completely forgotten in our region and in our time, until recently the science of it was lost, and its evidence is hidden; and no one knows about it except a few small descriptions in the books of the Ancients, which have been lost and have led to errors and uncertainties until the understanding of it has been closed and its strength and art have been lengthened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I have lived in this order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and of the other instruments of the work, which is necessary for addition to the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a skilled artist was not immediately recognized as such in our time is because the art of medicine is long, and it requires practice in the science of anatomy, which was rediscovered by Galen before he knew the great benefits of the members and their forms, and their conjunction and separation; and knowing the bones, nerves, and ligaments, and their number, and their hardness; and of the pulsating veins, the quiet ones, and the locations of their issuance.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for that reason called Hippocrates, who said that a name is not important, but in the work itself, and especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already mentioned him in the introduction of this book; because who does not know what we have said about anatomy, will not avoid falling into error by which many men have died, as I have seen too many of those, for they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor folly and imprudently incised an abscess of Hansen's disease on the neck of a woman, and incised some arteries in the neck so that a great deal of blood flowed into the woman, causing her to die between her hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the dragger had taken a stone from a man who had passed it in his state, and the stone was large, and he brought it to him and passed it with a tube through the urethra, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already tried to extract it, and saw that due to the size of the stone and the position of the patient, he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor saw that a duke of our land was suffering from surgery, and he went to a skilled blacksmith who was experienced in the fracture in the thigh of the patient; and because of his ignorance, he extracted the fracture on the surface, with cushions and sticks of strong structure, and did not give the wound air.
