Ayssi comensan las paraulas de Albucasim .	And now begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, if you have completed this book, which is the last of the science of medicine, because of its completion, and because of its explanations, and because of its declarations, I think that you will have completed this treatise, which is part of the operation of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of surgery was completely absent from our region and our time, until the science of it was greatly forgotten, and its existence was only preserved in a few small descriptions in the books of the Ancients, which were mostly destroyed by those errors and hesitations until the understanding of it was closed and its power and art lengthened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will live by this order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and of the other instruments of the work, which is necessary for addition to the declaration, and for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a skilled surgeon was not always present in this time is because the art of medicine is long, and it requires practice in the science of anatomy, which Gualia discovered while knowing the joints and forms of members, and their conjunction and separation; and understanding of bones, nerves, and ligaments, their number, and their location; and of pulsating veins, quiet veins, and the locations of their excretion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	As Hippocrates said, that a name is not important, but in the work itself, and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have not yet mentioned that person in the introduction of this book; because those who do not know what we have said about anatomy, will not be able to avoid the error by which many men have died, as I have seen too many of them, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor was once folly enough to have incurred an abscess called hydrophobia in the neck of a woman, and had incised some arteries of the neck so that much blood flowed into her body that she died between them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the dragger had taken a stone from a man who had suffered from it in his state, and the stone was large, and brought it to him and passed it through the urethra, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already called for someone to remove it, and saw that because of the size of the stone and the position of the patient he knew that she would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor who took the wound of a duke of our land for surgery, and was to a skilled blacksmith who was supposed to set the fracture in the joint of him; and because of his ignorance, he removed the fracture, above the wound, with pillows and splints with strong structure, and did not give the wound air.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then gradually remove the dressing according to his wishes, and then remove the bandage, and then remove the leech for several days and command that we remove the bandage; and this should be done while the wound and foot are still fresh, and it reaches perfection.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then apply it to him, and arrange for the bandage to be removed, and thus achieve peace and alleviate his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if decay was already confirmed in the member, so that it could not be restrained from that, and did not cease to spread corruption in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And then another doctor came who pierced an abscess with cancer, and it became ulcerated nearby in several days, until the great heat of it killed the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cranium is clean of melancholic humor, so it does not cause it to reach the patient at all, but rather that it be in the member that suffers from all of it, and all of it should be held.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For that reason, sons, it is necessary for you to divide the operation into two parts: one in which health is associated, and the other in which it is performed in the best possible positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already experienced this in every place of this book where the operation is performed in which error and fear occur; therefore, it is necessary for you to guard against that and lay aside the one who causes these things, so that the fools do not come to speak to you and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your weapons with solicitude and protection of God, and your patients with success and closure.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God for the salvation and praiseworthy succession, and lay aside the terrible diseases of difficult healing, and leave your weapons of that which makes you fear, so that your position in your faith and in your name does not escape you: because more remains to your glory, and more later in the world and after your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	In some cases, gout affects certain joints:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat the patient badly, because evil doctors may be recognized.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already dedicated this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The beginning of the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered from the foot, in the forms of instruments and in the handles of cautery, and about what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, about drying and puncturing, and about ventosas, and about plasters, and about the extraction of herbs and similar things, all chapter ordered from the forms of instruments.
Divisio de la tersa partida.	Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, about restoration and dislocation, and about the cure of torsion and similar things; chapter ordered from the foot, and from the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of pointed cautery and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	In that, the treatise begins with all freedom.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you know the quality of those tools and their cases, and in what condition it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the speech about the quality of the tool and its case is a long and elaborate, and subtle for knowledge, and secretly hidden; and from there, many people have spoken greatly, and they have been divided, and among them, a small part of their speeches is sufficient for me, because of length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore, I say that cautery compares to all complete conditions universally, which is matter or its matter, except for two conditions, which are tail-like complete conditions.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail-like complete condition, matter is dry; therefore, some say that cautery is useful for that, and others say the opposite of that, which is that cautery is not convenient in illness that is due to quality and dryness, because nature of fire is quality and dryness, and it is inconvenient that illness be dry and tail-like.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And tell that one who says the opposite of that one, that it is greatly beneficial for all kinds of tail diseases and dryness that are in the bodies of men, because when you compare the body of a man with the moisture of him to the appearance of the fire, the body of a man becomes wet.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the word of that one, that he has experimented with this thing in some ways discovered.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	May it not be that that one who has already been proven and exercised in the chapter of cautery by previous practice, and has known the diversity of the appearance of men and the disposition of their diseases in their bodies, and the causes of those, and their accidents, and the span of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May it not be that in other appearances, you do not fear, and more especially in moist diseases, because all the doctors have agreed on those, and they are not disagreed in the benefit of cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing by fire and its goodness is only in cauterization, because the fire is simple, the action of which does not reach beyond the member that is cauterized and does not harm the other member unless it is a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the action of medicine has brought them to that in the members which was previously absent, and it frequently brings it into the sick member with difficulty and often causes discomfort.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	However, the fire, by its sublimity and the goodness of its substance, does not do this, but rather exceeds it. And we have known this through experience and the length of service in the study of the art over the truth of the causes; and for this reason you are excused from the length of the speech. And if it were not that it is not read aloud in this pause to you in secret, and the quality of the operation of it in the bodies and its expulsion by which it expels the sicknesses, the philosophical demonstration of the sermon, which would be sharpened in your troubles.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you should know, sons, that they disregard the time in which it is convenient to make a cautery and pause at the best time of primeval.
