Ayssi comensan las paraulas de Albucasim .	Here begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, if I have completed this book for you, which is the last of the science of medicine, because of its completion and explanations and declarations, I believe that I have fulfilled my promise to you to write this treatise, which is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of caesarean section has been prohibited in our region and time, until recently when the science of it was revealed, and its evidence is established; and there are only a few small descriptions in the books of the Ancients, which have been lost and have led to errors and uncertainty until the understanding of it has been established and its length and art extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I believe that I have fulfilled the order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cauteries and other instruments of the work as it is for addition to the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	In ancient times, the reason why a skilled physician did not have to memorize all the parts of the body in detail was because the art of medicine was long and required practice in the science of anatomy, which Guall taught before understanding the significance of the members and their forms, and their conjunction and separation; and knowing the bones, nerves, and cartilages, their number, and their size; and the pulsating veins, quiet vessels, and their locations.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	For which reason, as Hippocrates said, it is not necessary to have a name for everything, but in the work, it is more important in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already mentioned that person in the introduction of this book; for those who do not know what we have said about anatomy, it is not surprising that they fall into error, as I have often seen many of them, because they are formed in this science and obtain their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor saw a woman who had been bitten by an Echis scorpion on her neck, and it had pierced some arteries of the neck causing great blood flow into the woman that she died among them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that a man had been struck by a stone from another man's work, and the stone was large, and it came to him and passed through a third of his abdomen, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already called for help to extract that, and saw that due to the size of the stone and the position of the patient, he knew under him where he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took the wages of a duke from our land for surgery, and went to a skilled blacksmith who was near the fracture in his thigh; and because of the doctor's ignorance, he extracted the fracture, on the plate, with pulleys and levers of strong structure, and did not allow the plate air.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then remove the dressing according to his wishes, and remove the bandage, and remove the compress for several days and order that it be removed; and this should be done while the wound and the foot are healing, and reach a state of improvement.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And then you should apply it to him, and prepare to remove the bandage, and achieve peace and relieve his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if corruption was already confirmed in the member, so that it could not be restrained from that one, and did not cease to spread the corruption in the member until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor performed an incision on a pus-filled tumor, and it became ulcerated in a few days, until the great heat of the disease destroyed the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of which is that the cranium is purged of melancholic humor, so that it does not reach the patient with iron from all over, but rather that it be in the member that suffers from all of it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For that reason, my friends, it is necessary for you to divide the operation into two parts: one in which health is associated, and another in which it is performed in the best possible conditions.
