Ayssi comensan las paraulas de Albucasim .	Thus begins the language of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, if you have completed this book, which is the last of the science of medicine, because of its completion, and because of its explanations, and because of its declarations, I see that you have completed this work that is part of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	The operation of amputation has been completely forgotten in our region and time, until the science of it was discovered, and its proof is now established; and no one knows about it except some small descriptions in the books of the Ancients, which have been destroyed and led to many errors and uncertainties until the understanding of it was closed and its length was extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that you should live by this order of this treatise in the second way of explanation and declaration and abbreviation; and because it comes with the forms of the tools of cautery and other instruments of the work as well as for addition to the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	When the cause for which one is not immediately skilled in anatomy in our time is because the art of medicine is long, and that it requires one to be exercised in the science of anatomy, which was recently rediscovered by Gualia before she knew the junctures of the members and their forms, and their conjunctions and separations; and also knowing the bones, nerves, and ligaments, their number, and their size; and also the pulsating veins, quiet veins, and the locations of their exits.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	For which reason Hippocrates says that a name is not necessary, but in the work itself, and especially in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already mentioned him in the introduction of this book; because those who do not know what we have said about anatomy will not be able to avoid errors by which many men have died, as I have seen too many of them, because they are formed in this science and get their knowledge from that science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	When a doctor saw a woman who had been infected with an abscess of the neck, and had incised some arteries in the neck so that a great deal of blood flowed into her, causing her to die between the hands of her companions.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And another doctor saw that the dragon had swallowed a stone from a man who had died and had processed it in his state, and the stone was very large, and came to him and passed it through a small intestine, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And he had already called for a tool to extract it, and saw that because of the size of the stone and the position of the patient, he knew that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took the wages of a duke of our land for surgery, and went to a skilled blacksmith who was also injured; and because of his ignorance, he extracted the fracture, above the wound, with pliers and strong structure, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then remove the dressing according to his desires, and remove the bandage, and remove the bandage for several days and command that it be removed; and if the wound and foot become infected, and reach a critical stage.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I removed the bandage, and he felt relief and no more pain from his wounds.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the decay was already confirmed in the limb, so it could not be stopped and it continued to spread the decay in the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who punctured a carbuncle, and it became ulcerated after several days, until the wound was completely healed.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the wound is purged of melancholic humor, and it does not happen that it reaches the bone in one limb, but rather that the entire limb that suffers should be kept.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	Therefore, my children, it is necessary for you to perform the operation in two steps: one in which the limb is associated with health, and another in which the work is done in the best possible conditions.
