Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuqasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, now that I have completed this book for you, which is the last of medical knowledge, and it was achieved through its completion, and by its explanations, and its declarations, it seems to me that you must comply with this treatise, which has been divided from surgery and from me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	When the operation I have described is performed in our region and at our time, it has been totally private; so much that it is a great peril to know about it, and its signs are hidden; and one would not remain from it except some small descriptions in the books of the Ancients, which were altered by them and deviated into those errors and ambiguities until they are closed in their intentions and the force and art of it are lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have brought life to that order of this treatise through the second way of exposition and declaration and abbreviation; and because you have shown me the forms of the instruments of catheter and other tools of the work how they are added for declaration and preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause for which there is no skilled craftsman who knows his way in our time is that the art of medicine is long and complex, and requires its practitioner to be well-versed in the science of anatomy, which Guillaume knew so well, having knowledge of the joints of the members and their forms, as well as their connections and disconnections; and awareness of bones, nerves, and ligaments, and their numbers, and their paths; and of pulsating veins and quiet ones, and their outlets.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates said that a name is but a word, but in the work small, and most so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about him in the introduction to this book; for whoever is not learned in this anatomy that we have spoken of, will certainly fall into error by which many men are killed, as I have seen many such, who were formed in this science and then abandoned it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inexperienced physician who had caused an abscess in the neck of a woman, and he had cut into some arteries there, so that a great deal of blood flowed out before the woman died among the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another physician who had set a large splinter in a man's side, and the patient came to him to have it removed, but instead he pulled out a piece of the intestine with the splinter, and on the third day the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself had warned him to stay away from the case, and I saw that due to the size of the splinter and the condition of the patient, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another physician who was receiving payment from a duke of our land to operate on a wounded man, and instead of doing the surgery properly, he gave the operation to a blacksmith who had broken his own arm, and who was not even aware of how to set a bone. The physician, through his ignorance, took out the splinter (or fracture) from above the wound, using pulleys and awls with great force, and did not even leave any space for the wound to breathe.
