Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuçasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, since I have now completed this book for you, which is the last of medical knowledge, by its completion I have achieved my purpose in it, and through its explanations and declarations, it seems to me that you should understand this treatise, which is part of surgical practice with me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For in our region and in our time, surgery with me is widely practiced and publicized, so that the science of it and its practice are well-known; and it will not remain hidden but only some small descriptions of it can be found in the books of the Ancients, which they have altered and to which they have added their own errors and misconceptions, while the true intentions of it are obscure and its force and art are lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have brought this art of ordering the treatise alive through its second way of exposition and declaration and abbreviation; and because I came with the forms of the cauterizing instruments and the other tools of the work, as an addition to the declaration and preparation for it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a skilled artist in their own hand is not found in our time is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which Galen knew well, by understanding the structure of the members and their forms, and the connection and separation of them; and having knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and of the pulsating and quiet veins, and the places of their effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And because of this, Hippocrates says that in our name is a word, but more so in the work and particularly in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this about him in the introduction to this book; for who does not know what we have said about anatomy will not be able to escape falling into error, by which many men die, as I have seen many of them, for some are formed in this science and depart from it without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish and inexperienced surgeon who had inflicted an abscess in the scrotum of a woman, and had cut into several arteries of the groin so that a great deal of blood flowed out, and the woman died among other similar cases.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another surgeon who tried to pull out an arrow from a man who was already in his deathbed, and the arrow was large, and he came to him and pulled out the arrow along with a piece of the intestine, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already warned you away from this one, and I saw that because of the size of the arrow and the condition of the patient's internal organs, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another surgeon who was being paid by a duke of our land for surgery, and entrusted to a blacksmith the person with a fractured thigh; and the surgeon prepared the wound with his ignorance, extracted the fracture onto the wound with forceps and awls with great tension, and did not leave any breath in the wound.
