Ayssi comensan las paraulas de Albucasim .	Assistance begins for Albuçates.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I have come to you with this book, which is the final part of medical science, in order to complete my life's work, and through its explanations and declarations, I believe that it will be useful to you as well, for it treats the art of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	But the operation on myself is carried out in our region and in our time, under secret conditions, while the risk of this science is great, and its visibility is lost; and it will not remain but a few small descriptions in the books of the Ancients, which will modify the most, and detect errors and mistakes among them, so that their intentions may be understood and the force of art may be increased.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revive this order of the book in its second part, according to the way of exposition, declaration, and abbreviation; and for what reason, so that forms of cautery tools and other instruments of work may be added, whether by declaration, or preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The translation of the text is:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so says Hippocrates that he has a name, but in his work it is mentioned, and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said that of him in the introduction to this book; for whoever does not know this that we have mentioned in anatomy, has not been freed from error, and so will perish those men, as I myself have seen many, who were learned in that science, but threw themselves away from their own science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	That I have seen a doctor foolish and ignorant who inflicted an apostema scrophilos on the neck of a woman, and cut some arteries in the neck so that great blood came out until the woman died among the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who ordered that the man swallow a stone of which he had previously suffered in his condition, and the stone came out to him and was torn apart with part of its substance, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself have called for him to extract that stone and I saw that due to its size and the condition of the patient I could foresee that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A doctor who received a stipend from a duke of our land came to see me, and he had a blacksmith treat a fracture in his body; and because the doctor was ignorant of it, he treated the wound with pulvinas and stakes under strong tension, and did not apply any breath or respiration to the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	He applied the patient according to his desires, and placed him on a bed, and commanded that we tie him with linen; and so until the wound in the body and foot were closed up, and he was saved from loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I was summoned to him and equipped myself to untie the binding, and succeeded in restoring his tranquility and easing his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, the corruption was already confirmed in the member, so I could not stop it, and the corruption continued to wander through the member until the patient's death.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I saw another doctor who perforated an infected gangrenous mass, and made it ulcerate after six days, when the disease was so greatly magnified by its malevolence in the lord of his body.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the swollen vein is pure of melancholy humors, therefore it does not spread to the rest of the body by iron, but rather to the member which suffered from being touched.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation be divided into two divisions: one is in the operation associated with health, and another work which is perilous in major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already mentioned this in all the places of this book where there has been an operation where error and fear have prevailed; therefore it is necessary for you to guard this and keep it safe, lest the people do not discover how much through your talk and that you are dishonest.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and with the protection of God, and your sick people with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way by the grace of God to bring patients to salvation and to a worthy succession, and put away the terrible illnesses of difficult cure, and keep your arms from this point so that they do not give you fear: for may it be that in your faith and in your name you will escape, because more is left to your glory, and then in the world and in the rear of those who honor your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Treatment begins for certain illnesses:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat the sick with bad medicine, lest you be mistaken by those who are not skilled".
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begins the division of the book, and first from the beginning of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered in the beginning of the foot, in the forms of instruments and in the muscles of the cauteries, and from this point it is necessary to know for operation.
La divisio de la segonda partida.	The division of the second part.
