Ayssi comensan las paraulas de Albucasim .	A cure begins with the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I have completed this book for you, which is the culmination of my knowledge in medicine, and by completing it, I have reached the end of life, and through its explanations and declarations, I believe that you will be able to understand the complexity of it to your advantage, and this treatise, which is a part of surgical practice.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the operation with surgery is placed in our region and in our time, hidden from public view, but very dangerous to the science of it, and the sight of it is left; and not to be found again but some small descriptions in the books of the Ancients, which have modified most of them and corrected errors and shortcomings within them, so that the knowledge of it is clear and its force is extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revive this order of the treatise in its second form, following the path of exposition and declaration and abbreviation; and for that reason, the forms of the cauterization tools and other instruments of the work, both by addition of the declaration, and by preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The translation is:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The patient says that Hippocrates has said this word, but in his work little, and more so in the art of healing.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have not said this of him at the beginning of this book; because whoever does not know what we have said about anatomy is not released from error and will kill men, just as I have seen many of those who are made up in this science and throw themselves out of that knowledge and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	I have seen a doctor mad and ignorant who caused an apsis of the pharynx in a woman's neck, and cut some arteries in her neck so that there was great bleeding until the woman died among others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who prescribed for the throat of a man that had processed him in his condition, and the stone was great, and it came to him and cut that stone with a third of the rest, so that that man died on the fourth day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for it to be extracted, and I saw that due to the size of the stone and the disposition of the illness, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A doctor who takes a stipend from a duke to perform surgery is coming to visit us with a black iron cast that he believes will fix the fracture in his chest; and due to his ignorance, he strips away the fracture, over the wound, with pillows and stakes under strong tension, and does not see or address the breath of life.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	He appropriately loosened it according to his desires, and wrapped it up again, and bound us with the ligaments so that the chest and foot may become exposed, and we are at risk of loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I was called upon by him, and I untied the ligaments, and succeeded in restoring peace and assuaging my pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, corruption had already set in within the limb, so I could not restrain it, and could not stop the corruption from spreading through the limb until the patient's life was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I saw another doctor who perforated an infected cancerous ulcer after several days, in which the disease was greatly magnified by his malice towards the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the swelling is because the warm cauterization is pure from melancholy humors, which therefore cannot penetrate into him with iron from top to bottom, but rather into the member that suffered from it.
