Ayssi comensan las paraulas de Albucasim .	The doctor begins to speak about Al-Bukhatir.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have given you this complete work on the science of medicine, in honor of your father's completion, and because of his exposures and declarations, it is to my view that you will master him by studying this treatise, which begins with surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the operation on our region and our time is done privately, with great risk in the science of it, and its visibility is lost; except that only some small descriptions are left in the books of the Ancients, which modified them more and changed them to correct their errors and deficiencies, so that those who understand them can see their truth and strength.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revive this order of the treatise in its second way, through exposition and declaration and abbreviation; and so that the forms of the cauterizing instruments and others of the work may come into use, both by adding to the declaration, and by preparing it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which this art is not understood by any skilled artisan in our time is because the art of medicine is long and that it requires its actor to be exercised in the science of anatomy, which reconcept Gualia knew while she learned about the youth of the limbs and their forms; and had knowledge of the bones, nerves and ligaments, and their number, and their movement; and of the pulsing veins and quiet ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus Ypocras says that he has a name, but in the small work, and more so in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about him in the introduction of this book; for whoever is not knowledgeable about anatomy cannot be considered to have understood what has been said, lest he falls into error by which men die, as I have seen many of those who are formed in this science and throw themselves out of that knowledge and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Which you have seen a doctor foolish and ignorant who caused an aposto-ma scrophelous in the neck of a woman, and cut some arteries in the neck so that great blood flowed into her before she died among those of hers.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who wanted to swallow the spleen of a man who had processed in his state, and the spleen was large, and came to him and sewed that spleen with three-quarters of the thing, so that man died on the fourth day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I immediately called for the extraction of it, and I saw that because of its large size and due to the disorder of the disease, I could predict over him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I saw another doctor who was paid a stipend by a duke of our land for surgery, and went to a blacksmith whose fracture in his body; and because of the doctor's ignorance, he extracted the fracture on the wound with pillows and stakes with strong tension, and did not secure its air.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus he proceeded according to his desires, and bound him, and commanded that we bind the limb, and so it entered until the wound in the body was opened, and it led to loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was summoned to him, and he had me bind the limb, and succeeded in restoring its tranquility and relieving his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	The translation is: But corruption was already confirmed in the member, so it could not be restrained and did not cease to wander corruption into the member until the disease reached its peak.
