Ayssi comensan las paraulas de Albucasim .	Assistance begins with the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have given you this book, which is the last in the science of medicine, and that is due to my completion with it the final chapter, and for the exposures of it, and for its declarations, I think that you will understand this by your love for me, and this treatise, which is part of surgical art.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	How the surgery is placed in our region and in our time, with only some private notes, but heavy danger in the science of it, and its sight is hidden; and not remaining in it except some small descriptions in the books of the Ancients, which have changed most, and invented for those errors and hesitations, within their closed views, and has prolonged the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I see that you will revive this work order of this treatise according to the second way of exposition and declaration and abbreviation; and for it to come with the forms of cauteries' instruments and other tools of the work, whether by addition of the declaration, or preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The translation is: 
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	It appears to be saying that Hippocrates had a name but it is mentioned more in his work than in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of him in the introduction to this book; because whoever does not know this is not acquainted with anatomy, and will therefore fall into error by which many men are killed, as I myself have seen many of those who were corrupted by this knowledge and threw themselves away from that science and their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	And I saw a doctor foolish and inexperienced who induced an scrophulous apoplexy in the neck of a woman, and cut some arteries in the neck so that great blood flowed into her, and she died among the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who prescribed that the patient swallow a large stone from a man in whom it had been formed, and came to him and cut open that stone at one end, so that that man died on the fourth day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself called out that he should extract it, and I saw that because of the size of the stone and the disposition of the patient, he would necessarily die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	There is another doctor who received a stipend from a duke of our land for surgery, and came to a patient with a black cast that was due to a fracture in the cavity; and because he had his ignorance, he extracted the fracture, on the wound, with pillows and needles with strong tension, and did not secure the breathing of the plague.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he took him off according to his wishes, and put on the bandages, and placed the liniment for a few days and commanded that we untie the ligament; and thus until the cavity and the foot were opened up, and brought about loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and he prepared himself to untie the ligament, and succeeded in restoring his tranquility and causing an end to his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile the corruption had already been confirmed in the limb, so that it could not be restrained, and did not cease to roam through the limb until the disease was severe.
