Ayssi comensan las paraulas de Albucasim .	Assessors begin to speak of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have given you the complete book of medicine, which is the result of my life's work, and for its completion, and its explanations, and its declarations, to me it seems that you will take away from this treatise the essence that it has in surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	But the operation on the female body is still prohibited in our region and in our time, except for a few great works of science, which were made visible to us; and none remains but some small descriptions in the books of the Ancients, which have corrected the more, and invented new things, in order to clarify their errors and hesitations, and to prolong the force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revive this order of this treatise in the second way of exposition and declaration and abbreviation; and so that the forms of the cautery tools and of the other instruments of the work may be added by declaration, and be prepared accordingly, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The translated line is:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so says Hippocrates who has this name, but is more mentioned in the work, and much more in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have not said much of him in the introduction to this book; for whoever is not knowledgeable about it, and has not been told about anatomy, is not released from error unless he falls into it, just as I have seen many of them, who are skilled in this science but throw themselves away from that knowledge and those experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	As I have seen a doctor foolish and ignorant who caused an apsephalitis on the neck of a woman, and cut some arteries on her neck so that great blood flowed into her before she died among the rest.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who ordered that the man swallow a stone which he had processed in his state, and the stone was large, and it came to him and cut open that part of the belly, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already asked him to remove it, and I saw that because of the size of the stone and due to the disorder of the patient's condition, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	The text means: And I saw another doctor who received stipends from a duke of our land for surgery, and went to a blacksmith who was breaking his own fracture in the cavity; and because of the doctor's ignorance, he strained the fracture on the wound, with pillows and stakes with great tension, and did not secure the breath of the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	The text means: And let him be unwound according to his desires, and let him be tied up, and let him be laid on his side and left exposed, so that the cavity and the foot may be opened and perverted to loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	The text means: And I was called to him and arranged the bandages to be unwound, and he achieved rest and began to alleviate his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	The text means: But corruption was already confirmed in the limb, so he could not stop it, and did not cease to roam the corruption in the limb until the disease became perilous.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	The text means: And I saw another doctor who perforated an apostoem (or abscess) with cancer, and left it uncovered for several days, until the malignity of it was manifested to the lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the gout is because the gallbladder is full of melancholy humor, which cannot reach him through iron, but rather affects a member that has already been infected with the entire disease.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation on the gallbladder be divided into two parts: one is in the operation where health is associated, and another where danger is involved in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire book where victory is achieved in the operation in which error and fear; therefore it is necessary for you that watch over this and hold back, so that the leaves do not go through to speak and to deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitation and protection of God, and your sick ones with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through the grace of God to lose to health and noble success, and lay down terrible illnesses with difficult cure, and put your arms back from that which makes you fear, so that visitation in your faith and in your name will not flee you: for more remains to your glory, and also on earth and in later times to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	The text means: "I have already seen in some of my cases:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	The text means: "Do not treat illness badly, lest you become known as a bad doctor".
E yeu ja he devesit aquest libre segontz tres capitols.	The text means: "And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The text means: "Beginning the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The text means: "The first chapter arranged of the leg in forms of instruments and hinges of cauteries, and from this it is necessary to proceed with the operation.
La divisio de la segonda partida.	The text means: "The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The text means: "The second chapter of drying and perforation, and of veneseans, and of boils, and of plasters, and of the extraction of needles, and of similar procedures, all arranged in forms of instruments.
Divisio de la tersa partida.	The text means: "Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The text means: "The third chapter, of restoration and dislocation, and of the cure of twisted limbs, and similar procedures; arranged chapter on the leg and in forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The text means: The cautery is a fire and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	It started with the treatment of the whole body.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Describe the quality of the juice of that cautery and its instruments, and in which case is it prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then say that the discourse on the quality of the juice of cautery and its instruments is a long and complicated one, subtle for understanding, and hidden in secret; and already many wise men have spoken about it, and there are disagreements among them, and at my disposal are only small fragments of their discourses, and I fear prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore say that cautery is beneficial to all body parts universally, as long as they are made of matter or its material, except for two types of organs which are not made of matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the lower and dry part of the body where the matter is dried up; because some say that cautery is beneficial for it, and others say the opposite: that cautery is not suitable for it, since in disease of this quality and dryness, the nature of fire is quality and dryness, and therefore it is convenient to heal the disease that is cauteric and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	A man who says the opposite of what you say, is treated with cauterization in all cases of wet and dry ailments that one sees in men, when comparing the body of a man to the humidity of his environment, it appears that the body of a man is cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I also tried this procedure on myself several times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not know whether it will come back over that which has already been proven and exercised in the capital of cauterization for a later exercise, because I have taken note of the diversity of human bodies and the arrangement of diseases in their own places, and the causes of those, and the accidents to them, and the space of time between those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other places, it is not a matter of fear, and mainly in cold and moist diseases, where all the doctors have agreed on them, and are not uncertain about the application of cauterization to those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Know this, sons, that the secret of cure through cauterization by fire and the goodness of it, are over cauterization by medicine that burns, because the fire is simple, the action of which does not reach more than the member to which it is applied, and no causes another injury in a small matter.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine has reached the point where it enters into those parts of the body where they have not yet been treated, and therefore very hard to heal comes into the diseased limb.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its greatness and substance goodness, does not do this but rather overflow; And it is already known to us through experimentation and the length of our service of study on the art above the truth of causes; and for this reason I excuse the length of my speech. If it were not that it was not suitable to be said openly in this pause, I will tell you secretly about the fire, and its operation quality in bodies, and how to expel them by which you expel diseases, a philosophical demonstration proven, sharpened on your own illnesses.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that the times differ from the time when it is convenient to perform cautery and pause for the best condition of spring fever.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is suitable in all times, because the damage from accidents happens quickly during the early stages of cautery, and it is more dangerous when the cautery is for pains or necessary pain, strong and intense ones, which do not allow delay so that they are feared by those who come with malicious intentions, which is greater than minor harm entering through time.
