Ayssi comensan las paraulas de Albucasim .	The patient's doctor begins to speak.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I have come to you completely on this book, which is the latest part of medical science, in order to fulfill my wish and achieve eternal life, and for the exposures and declarations, it seems to me that you will gain understanding by studying this treatise, which is divided into surgical operations, as is medicine by art.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	And the operation of surgery is dealt with in our region and in our time, privately, but still very dangerous by the science of it, and its visibility is lacking; so that there will remain from it only some small descriptions in the books of the Ancients, which have corrected more and discovered those errors and hesitation within them, whereas their conclusions are closed, and the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revive this order of this treatise on the second way of exposition and declaration and abbreviation; and for so that the forms of the cauterization tools and of other instruments of the work may come into being whether by addition of the declaration, and by preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The translation is:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus it is said by Hippocrates that has this name, but more in his work, and much more in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But what we have already said about him at the beginning of this book; for whoever does not know this and has not heard our account of anatomy, will be unable to avoid error, which is how men will die, as I myself have seen many of them, who were misled by that knowledge and lost their own science and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	That you saw a doctor foolish and ignorant who caused an apoplexy of the esophagus in a woman's throat, and cut off some arteries in her neck so that there was great blood flowing into her, which ultimately led to her death among the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who ordered that the throat be pierced with a stone of a man who had already progressed in his illness, and the stone was large, and he came to him and cut it open three times on the other side, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I myself called for the removal of that stone, and I saw that due to its size and the configuration of the disease, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	A doctor who receives a stipend from a duke comes to the bedside of a crippled man, and upon seeing him, he notices that the black casts are due to fractures in his chest cavity; and, out of ignorance, the doctor sets up various pulleys and ropes with great force, but does not secure the patient's breathing.
