Ayssi comensan las paraulas de Albucasim .	A doctor starts speaking about Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have fully presented to you this book, which is the culmination of my science of medicine, for its completion and fulfillment in life, and for the explanations and declarations it contains, I believe that you will be able to grasp its essence within this treatise, which is part of the art of surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	How the operation of surgery is exposed in our region and time, mostly private, whereas it is fraught with great risk due to the science of it, and its history is still unexplored; only a few small descriptions are left in the ancient books, which have modified them, added new ones, and corrected some errors and shortcomings that occurred among their clauses, thereby clarifying their understandings, making progress with force and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will bring back to life that ancient order of this treatise on the second path of explanation and declaration and abbreviation; and for its forms of tools such as cauterization instruments and other works in the art be added through declaration, and preparation for them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The text means: "But the reason why it is not easily found by any skilled artisan in these times is that the art of medicine is long, and so their actor does not know how to exercise themselves in the science of anatomy which Gualia knew before, who learned about the youth of limbs and their forms, and the connection and separation of them; and he has knowledge of bones, nerves, and sinews, and the number of them, and the excretion of them; and of pulsating veins and quiet ones, and of the places of their injection.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The text means: "And from this it is said that Hippocrates has a name, but in the work little, and most of all in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	The text means: "But we have already said about him in the introduction of this book; for whoever is not knowledgeable about it does not understand what we have said about anatomy, and therefore will fall into an error from which men die, as I have seen many of those who are formed in this science and throw themselves from that knowledge and their experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	The text means: "That I have seen a doctor old and foolish who inserted an apsema scrophelous in the neck of a woman, and cut some arteries of the neck so that she had great bleeding before the woman died among the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	There is another doctor who treated a man with an ulcer in his state, and the ulcer was very big, and came to him and extracted that ulcer along with some of its surroundings, because that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I had asked to extract it, and I saw that due to the size of the ulcer and the disposition of the disease, I would surely have been killed.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I saw another doctor who received a stipend from a duke of our land for surgery, and went to a blacksmith who was giving him an arrow that had caused a fracture in his cavity; and because of his ignorance, he extracted the fracture on the wound with pulvins and stakes with strong tension, without releasing its life breath.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And placed him according to his desires, and wrapped him, and commanded that we release the ligaments; and thus until the cavity and foot were closed, and he perished.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I was called to him, and I wrapped him up to release the ligament, and succeeded in restoring his calmness and alleviating his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	May corruption was already confirmed in the member, so that it could not be restrained, and did not cease to roam through the member until the disease was at its peak.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And we saw another doctor who perforated an abscess that was cancerous, and it became ulcerated after six days, to the point where the disease of the lord within it grew greatly.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous growth is pure of melancholic humors, so it does not penetrate with iron to everything, but rather is contained in the member which has suffered from such a condition.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation be divided into two parts: one in which it is associated with health, and the other in which there is risk in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have existed in this entire location of this book where victory is over operation in which there is error and fear; therefore it is necessary for you to guard this and hold it fast, so that the people do not come to speak and accuse you of dishonesty.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Take up your arms in supplication and protection of God, and your illnesses with humility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better path through God's grace to find salvation and glorious success, and lay your terrible illnesses with difficult cure, behind you that our arms from this may make you fear, so that in your faith and in your name do not flee: for much more is left to your glory, and then in the world and in the rest of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	But surely you will not be deceived in some of these messages.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not heal false sickness, lest you become known as one who heals nothing.
E yeu ja he devesit aquest libre segontz tres capitols.	And now I see that this book is divided into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Commencing the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered in the order of the feet, in the forms and instruments of cautery and from there what is necessary for operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and perforation, and on vesicles, and on boils, and on plagues, and on the extraction of arrows and similar things to those, all explained and arranged according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and the cure of a twisted limb and similar things to those; a chapter arranged from head to foot, and according to the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery, with fire and sharp medicine, and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	It is in that one who began to treat all of the free art.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Explain the quality of the cautery and its needles, and in what circumstances it is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And thus it is said that the discourse on the quality of the cautery's needles and its implementation is a long and prolix one, subtle in knowledge, and secret hidden away; for many wise men have spoken about this, and there are also disagreements among them, and as for me, I can only recall a small part of their discourses, which seem to be overly verbose.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	It seems to be saying that the cautery will relieve all types of conditions related to matter, except for two types: spinal conditions.
