Ayssi comensan las paraulas de Albucasim .	Assistance begins as Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, I have given you this book, which is the final work of medical science, to complete its purpose in life, and to expose its theories and declarations, I think it is necessary for you to master this treatise, which is part of surgical art.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the surgery of our region and our time is private, it was forbidden by the science of it, and its observation; and it will not remain but some small descriptions in the books of the Ancients, which have modified most of them and explained their errors and difficulties, so that those who read them can understand it better, and it has lengthened the force of it and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will revive this order of the treatise in accordance with a second way of exposition and declaration, and abridgment; and so that the forms of the cauterization tools and other instruments of work may be added by declaration, and preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The text means: "But the cause by which a skilled artisan does not hit his mark in this age is that the art of medicine is long and the skill of their actor must be exercised in the science of anatomy, which Gualia recognized when she knew the youth of the members and their forms; and had knowledge of the bones, nerves, and sinews, and their number and disposition; and of the pulsating veins and quiet ones, and of the localities of their issuance.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	The text means: "And from this it is said that Hippocrates is called by the name, but more briefly in the work, and mostly in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	The text means: "But we have already said about him in the introduction of this book; for whoever does not know this is so much wasted that he will fall into error by which men will be killed, as I have seen many of those who are formed in this science and throw themselves from that knowledge and that experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	The text means: "For I have seen a doctor foolish and ignorant who caused an epistaxis (nosebleed) in a woman's throat, and cut some arteries in the throat so that great blood flowed into the woman until she died among the rest of her family.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	A doctor found another who was about to swallow a stone from a man whose condition had already worsened, and the stone was large, and came to him and extracted that stone with the rest of it, so on the third day he died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	I had also called out to extract that one, and I saw that due to the size of the stone and the condition of the illness, it was clear that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I saw another doctor who was receiving stipends from a duke of our land for surgery, and even went to a blacksmith who had fractured the bone in his crotch; and despite the doctor's ignorance, he extracted the fracture, over the wound, with pillows and pins under great tension, and did not leave the wound breathless.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	He put him on the diet according to his desires, and had him recline, and had him treated with laxatives for many days and commanded that we should relieve him of his bonds; and thus, until the wound and the bone were fully healed, he went to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I was called to him, and had his bonds removed, and succeeded in restoring his tranquility and brought an end to his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	The translation is:
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I have suffered another doctor who perforated an artery cancer and was ulcerated for several days, until the malignancy of the disease consumed the lord of it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which cause is that the black humors are pure melancholy, and not able to penetrate him with iron from all parts, but only affect one member which has been weakened.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation be divided into two parts: one is in operation on him who is associated with good health, and another work which is perilous in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire book where I discussed operation in which is error and fear; therefore it is necessary for you that guard them well and let them be, so that the fools do not go there to speak and to deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and protection of God, and your sick ones with facility and firmness.
