Ayssi comensan las paraulas de Albucasim .	The patient begins to speak about Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have given you this book, which is the culmination of my knowledge in medicine, because it was my wish to die with such completion and for the explications and declarations made in it, I think that you will understand it better than anyone else by means of this treatise, which is a part of surgical art.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation in my region and in our time is done secretly, behind closed doors, although it is very perilous to the science of it, and its study is not kept; nor will I leave but a few small descriptions in the books of the Ancients, which have corrected the most and amended those errors and hesitations among them, so that their intentions may be understood, and the force of art may be extended.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And I think that you will revive that ancient order of this treatise according to the way of exposition and declaration and abridgment; and in order that it may take on the forms of the cautery instruments and of other work tools, whether by addition of the declaration or preparation of it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The cause for which this art is not understood in our time, is that the art of medicine is long and that it is difficult for its actor to be exercised in the science of anatomy, which he has learned from Galen when he knew about the joints and their forms, and their connection and separation; and he knows the bones, nerves, and tendons, and their numbers and qualities; and about the pulsating veins and quiet ones, and their locations on the removal of theirs.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And so it is said that Hippocrates has this name, but in the work little and more so in the art of medicine.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about that one in the introduction of this book; for who is not knowledgeable about it, does not understand anatomy, and therefore will not be able to escape error by which people will die, as I have seen many of those, because some of them are formed in this science and get lost from their knowledge and experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	That I saw a doctor mad and elderly who inflicted an abscess on the neck of a woman, and cut some arteries in the neck so that there flowed great blood within her before she died between those of hers.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who prescribed that the man swallow a piece of someone who had suffered in his condition, and the piece was large, and came to him and tore open that part further, so that that man died on the fourth day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	But I also asked to remove that one, and I saw that because of the size of the piece and due to the patient's condition it was clear to me that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	I saw another doctor who received a stipend from a duke of our land for surgery, and came to a blacksmith who was causing him a fracture in his cavity; and because of the doctor's ignorance, he removed the fracture on the wound with pillows and stakes with great tightness, without laying the wound flat again.
