Ayssi comensan las paraulas de Albucasim .	Thus they begin with the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, I have completed this book for you, which is the last of the science of medicine, by the completion of it you will achieve perfection in it, and by its explanations and declarations, it seems to me that I have provided you with a treatment that is part of the operation of the hand, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation of the hand is prostrated in our region and in our time totally deprived, until the science of it has perished, and its practice is stopped; and there remain of it only a few small descriptions in the books of the Ancients, which made the most errors and deviations to those mistakes and excesses until the intentions of it are closed and its force is elongated and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revive it with the ordering of this treatise in the second way of exposition and declaration and abbreviation; and so that it comes to the forms of the preparations of cauterization and of the other instruments of the work, as is necessary by addition of the declaration, and by preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no artisan is found skilled in this art in our time, is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which includes knowledge of the joining of the members and their forms, and the conjunction and separation of them; and has the understanding of the bones, nerves and ligaments, and their names, and their functions; and of the pulsating veins and the quiet ones, and the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a small word is enough, especially in the work of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said regarding anatomy, it is not surprising that they fall into error, through which men die, as has been seen many times, because some are formed in this science and boast of possessing it, yet lack its practice and experimentation.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inexperienced doctor having made an incision on a scrophulous abscess in the neck of a woman, and having cut some arteries of the neck, through which a great amount of blood flowed, until the woman fell dead among his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who ordered that he would swallow a stone of a man which was stuck in his throat, and the stone was large, and came to him and extracted that stone with a piece of the bladder, through which that man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called it foolish to extract that, and I saw that due to the size of the stone and the condition of the patient, I suspected that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was paid by a duke of our land to perform surgery, and he applied a black plaster to a patient who had a fracture in their thigh; and the doctor, with his ignorance, extracted the fracture, put a poultice on the wound, with strong bandages and tight binding, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And return the dislocated according to the desires of the sick, and return the relaxed, and return the loose one for all joints and command that we untie the ligament; and it is necessary that thus between the thigh and the foot an abscess forms, and it comes to a dangerous loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And it is called relief for him, and prepared to dislocate the ligament, and acquired is tranquility and thus removed are his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Greater corruption had already been confirmed in the member, for which it could not be restrained, and did not cease to spread the corruption in the member until the patient is in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who made a cancerous abscess, and it was ulcerated in the following days, until the evil of it was magnified with the lord of it, his master.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the bitter humor is pure melancholy, then it does not happen that it comes to him with all iron, but rather that it be in a member which suffers so that from it all is hosted.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary that the operation with the hand be divided into two devotions: one is the operation in which health is associated, and the other is the work in which danger is in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already extracted this from every place of this book in which an operation is described where there is error and fear; for which it is necessary for you to guard against this and let go of that, so that the foolish do not accuse you of speaking and dishonesty.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take up your arms with solicitude and protection from God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to achieve health and praiseworthy success, and leave behind the terrible illnesses of difficult healing, and put away your arms from what makes you fearful, so that it does not diminish your faith and your name: for many are remaining for your glory, and may they be in the world and afterwards among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already spoken to some wise men:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad illness poorly, so that bad doctors are not named".
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already devoted this book to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first from the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head and the feet, in the forms of instruments and in the preparations of cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and on ventoses, and on plasters, and on extraction of arrows and on similar things to them, all chapters and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on treatment of twists and on similar things to them; chapter ordered from head to feet, and on the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and on sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is good to discern the quality of the juices of that cautery and of its instruments, and in which complication it is prohibited to apply cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the quality of the juice of cautery and its instrument is a long and prolix discourse, subtle for science, and secretly hidden; and already many sages have spoken about it, and they are discordant, and for me it suffices to take a small part of their discourses, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is suitable for all universal complications, whether they are with material or without material, except for two complications, which are complications without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex of the tail and dry matter, it will become disordered; because some said that a cauterized wound is helpful for this, and others said the opposite, that cauterizing is not convenient for an illness which is caused by heat and dryness, since the nature of fire is heat and dryness, and it is convenient that an illness of the tail and dry matter be treated with what is hot and dry to be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And it is said by him who says the opposite, that cauterizing is made helpful in all dry and hot illnesses that occur in men's bodies, because when you compare men's bodies and their humidity to the complexity of fire, you find men's bodies are cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I speak from the sermon of that one, who has already experimented on me several times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I more openly declare that it is not necessary for that which has already been proven and practiced in the chapter of cauterizing through previous exercise, and having understood the diversity of the complexity of men and the disposition of their illnesses, and the causes of those, and the accidents of them, and the timing of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexities, it is not about your fear, and especially in cold and humid illnesses, because already all doctors agree on those, and are not disordered in the help with cauterizing in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	It is known, sons, that the secret of curing by cautery with fire and the goodness of it, is that a cautery in medicine is burning, because the fire is simple, its action does not reach except to the member which is cauterized and it doesn't harm another member near it but only with a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	More, the action of burning medicine reaches to that one in the members which is joined to it, and forces it to come into the sick member with difficult healing and forces it to be heard.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its subtle elevation and the goodness of its substance, does not make that which is superfluous; And it is known to us through experiment and through long duration of service in study of the art on the truth of the causes; and for this I am excused from the length of the sermon. And if it were not that my free will is bound by this secret, I would tell you about the fire, and the quality of its operation on bodies, and of its expulsion through which we expel sicknesses, in a philosophical demonstration, which would be acute in your understandings.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree about the time in which it is convenient to do a cautery and they pause for the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, because the harm from the accidental time is submerged in the benefit of that which the cautery attracts, and especially if the cautery is for pains or necessary pains, strong and frequent, which do not suffer delay so that it is feared that evil will come, which is greater than small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not seen in your steps, or, sons, that they esteem only the common people and foolish doctors, so it is that for that illness which is healed by cautery, all time is not required, and they pause to consider that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not seen thus by them because they believe that cautery is only in place of medicine, which alters the complexion and dries the humors, which are the cause for which pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More, I prefer cautery over medicine due to the will of its validity and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the illness returns at some hour of time, according to the complexion of the patient and the location of their illness, and the virtue of it, and that which is prepared in the body from the aggregation of superfluities in it, and that which has come to it through food and habits similar to those causes; but that the illness in which cautery is administered is a subtle illness in a member with few superfluities and humors, thus as cautery of tooth for pain and similar to that, it is possible that in it the pain does not return, but rather it happens in a small place.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And most common speech is that cautery is the last remedy of medicine, and it is the speech of ignorant people, not because they understand it, but because they believe that there is no cure that can be achieved by medicine or any other cause except through cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is to the contrary of that; and the intention that cautery is the last remedy of medicine is not unless when we administer the ways of cure in certain illnesses, and those medicines do not work, and then at the end of the cause, we administer cautery, and apply it to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And therefore it is said that cautery is the last remedy of medicine, not according to the intention which the common people and many foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not burn, as it is not absolutely true, because it has been proven and found that it does not happen except in certain bodies besides the others, and cautery with it is good and better than with iron, as they said; but however when you make cautery with fire or gold, it is not declared to you, because it is ignited according to the quantity that you want for the roughness of the gold, and prepares to receive cold; and if you adjust it on the ember, the gold melts by the fire, and sometimes puts in the fire certain laminae so that the artisan can work with the occupation of it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this, a cautery is made with iron, which we apply lightly and carefully to the rectitude of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery according to chapters, and I have ordered those of the head between the feet, so that I alleviate the demanding one what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery for headache caused by cold and humidity.
Le capitol primier.	The first chapter.
