Ayssi comensan las paraulas de Albucasim .	Thus they begin with the teachings of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since I have completed this book for you, which is the last of the science of medicine, and by its completion one achieves perfection in it, and through its explanations and declarations, it seems to me that I should complete for you with this treatise, which is a part of the practical work with hands, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the practical work with hands is prostituted in our region and in our time, entirely deprived, to the point that the science of it is in peril, and its practice is stopped; and there remain of it only a few small descriptions in the books of the Ancients, which they have mixed with errors and confusion, so that the intentions of it are obscure and its force is elongated and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive it in the ordering of this treatise, according to the method of explanation and declaration and abbreviation; and that it comes to the forms of the preparations of cauterization and of the other instruments of the work, as is necessary for the addition of the declaration, and for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason for which no artisan is found skilled with their hands in our time, is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which includes knowledge of the joining of the members and their forms, and the conjunction and separation of them; and it also requires knowledge of the bones, nerves, and ligaments, and their names, and their functions; and of the pulsating veins and the quiet ones, and of the places of their emission.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a name is a word, more in the small work, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said regarding anatomy, it is not unlikely that they will fall into error, through which men die, as has been seen with many of them, because some are formed in this science and turn away from it and lose their knowledge and their experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inexperienced doctor having made an incision into a scrofulous apostema on the neck of a woman, and having cut some arteries of the neck, through which a large amount of blood flowed, until the woman fell dead among his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who ordered that he would swallow a stone of a man which had been processed in his stomach, and the stone was large, and it came out and passed through with a piece of the bladder, for which that man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called it foolish to extract that, and I saw that due to the size of the stone and the condition of the patient, I suspected that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was receiving a stipend from a duke of our land for surgery, and he went to a wretched black man who had a fracture in his thigh; and with his ignorance, the doctor extracted the fracture, on the wound, with poultices and bandages of strong structure, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And return the dislocated according to the desires, and return the relaxed, and return the loose one for all joints and command that we dislocate the ligament; and it is thus entered that the thigh and the foot form an abscess, and it comes to a loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And it is called relief for him, and prepared to dislocate the ligament, and obtained is tranquility and thus diminished are his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Greater corruption had already set in the member, because it could not be restrained, and did not cease to spread the corruption in the member until the patient is in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who made a cancerous abscess, and it was ulcerated in the same days, until the evil of it was increased by the lord of it to him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This cause is why the bitter humor is pure melancholy, then it does not matter that it comes to him from iron of all, but rather that it be in a member which suffers that all was hosted.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary for you that the operation with hand be divided into two deviations: one is an operation to which health is associated, and in work to which danger is in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already exited that place in the entire location of this free one in which operation comes with error and fear; for which it is necessary for you to guard this and let go of that, so that the fools do not approach to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take up your arms with solicitude and protection of God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to gain health and laudable success, and leave the terrible illnesses of difficult healing, and put away your arms from that which makes you fear, so that it does not decline in your faith and in your name: for many are remaining for your glory, and then established in the world and afterwards to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Wailing has already been spoken in some of his mournful words:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad illness poorly, so that bad doctors are not named".
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already devoted this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head between the feet, in the forms of the instruments and in the sharpening of the cauteries, and with that which is necessary in the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning dryness and perforation, and of blisters, and of plasters, and of extraction of arrows and of similar things to them, all chaptered and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, of restoration and dislocation, and of treatment of fractures and of similar things to them; a chapter ordered from head to feet, and of the forms of instruments.
