Ayssi comensan las paraulas de Albucasim .	Thus they begin to recite the words of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since I have completed this book for you, which is the last part of the science of medicine, by its completion one achieves perfection in it, and through its explanations and declarations, it seems to me that I have provided you with a comprehensive treatise, which is a division of the practical work, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the practical work is so neglected in our region and in our time, that it has greatly suffered the decline of its science, and its practice is forgotten; and there remain none of it except for a few small descriptions in the books of the Ancients, which were obscure and led to error and confusion, until the understanding of it was obscured and its force was weakened and the art was prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I will revive this in the ordering of this treatise, in this way: by explanation and declaration and abbreviation; and so that it comes to the forms of the preparations of cauterization and of other instruments of the work, as is necessary for the addition of the declaration, and for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no artisan is found with their own art in our time, is that the art of medicine is long and requires its practitioner to be exercised in the science of anatomy, which includes knowledge of the junctions of the members and the forms of those, and the connection and separation of them; and also the recognition of the bones, nerves, and cartilages, and their names, and their relation; and of the pulsating veins and the quiet ones, and the places of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And according to Hippocrates, the name of this condition is a word, more often used in minor works, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said regarding anatomy, it is not surprising that they fall into error by which men die, as has been seen with many of them, because some are formed in this science and turn away from it and lack experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish and inexperienced doctor having made an incision into a scrofulous aposteme on the neck of a woman, and having cut some arteries of the neck, through which a large amount of blood flowed, until the woman fell dead among her people.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who prescribed that he would swallow a stone of a man which was stuck in his throat, and the stone was large, and came out to him and extracted that stone with a piece of the bladder, through which that man on the third day died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called it foolish to extract that, and I saw that because of the size of the stone and the condition of the patient, I conjectured that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he applied to a wretched black man, who had a fracture in his thigh; and with his ignorance, the doctor extracted the fracture, on top of the wound, with poultices and splints with strong structure, and did not leave the wound to heal.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And return the disjointed according to the desires of the sick, and return the relaxed, and return the loosened by walking and commanding that we loosen the ligament; and it is necessary that this be between the thigh and the foot, so that the abscess forms, and turns into a loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And it is called a relief to him, and the preparation to loosen the ligament is achieved, and obtained is tranquility and thus alleviation from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But when corruption had already established itself in the member, because it could not be restrained, and the corruption did not cease to spread in the member until the disease reached a crisis.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who made a cancerous abscess, and it was ulcerated in the same days, until the evil of it was magnified with the lord of it, the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the bitter humor is pure melancholy, then it is not suitable that it should penetrate to him entirely, but rather that it should be in a member which suffers so that all of it would be evacuated.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary for you that the operation on the ill person be divided into two divisions: one is the operation in which health is associated, and the other is the work in which there is danger in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already examined this in every place of this book where an operation is described in which there is error and fear; for which it is necessary that you guard against this and avoid that, so that the foolish do not find a way to speak and accuse you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take your arms with solicitude and protection from God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to bring about health and praiseworthy success, and leave behind the terrible illnesses of difficult cure, and remove from your arms that which makes you afraid, so that trust in your faith and in your name does not fail you: for greater is the remainder of your glory, and afterwards in the world and lastly among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Certainly I have spoken in some sick men's warnings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“Do not treat the bad illness poorly, so that bad doctors are not named”.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already devoted this book to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first from the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head and the feet, in the forms of instruments and in the preparations of cauteries, and with what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and perforation, and on ventoses, and on plasters, and on extraction of arrows and on similar things to those, all chaptered and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on treatment of twists and on similar things to those; chapter ordered from head to feet, and on the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with focus and with sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	When I describe the quality of the juices of that cautery and its outcomes, and in which condition it is prohibited to apply a cautery.
