Ayssi comensan las paraulas de Albucasim .	The words of Albucaisem begin thus.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, since I have completed this book for you, which is the last of the science of medicine, because it has reached its end through me and my consequences, and through my explanations and declarations, it seems to me that you should complete that which is in this treatise, which is part of my surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since my surgery is neglected in our region and in our time, completely private, so that the science of it is almost forgotten, and its practice remains hidden; and there remain only a few small descriptions in the books of the Ancients, which are changed to the most part and added to those errors and aberrations, until the intentions of it are closed and its force and art are elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you should revive that ancient order of this treatise in accordance with the way of exposition and declaration and abbreviation; and so that you may acquire the forms of the instruments of cauterization and other tools of the craft as if by addition to the declaration, and for preparation thereto, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason why there is not found a good craftsman in our time who has mastery of his hand in this art, is that the art of medicine is long and tedious, and it requires one's actor to be exercised beforehand in the science of anatomy, which Galen recognized, so that he may know the joints of the members and their forms, and the conjunction and separation of them; and have knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and of the pulsating and quiet veins, and the places of their efflux.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates says that a name is not a motive, but rather in small work, and most of all in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already spoken of that in the introduction to this book; for one who is not skilled in what we have said about anatomy is not fit to be a surgeon, lest he fall into error by which men will die, as I have seen many of those who are thus formed in this science and gain nothing from it, but rather lose their science and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced doctor who had inserted an abscess of scrophulous humor into the neck of a woman, and he had cut through some arteries of the neck so that a great deal of blood flowed, whereby the woman died between them.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who thought he would pull out an abscess from a man's groin which had developed in his state, and the abscess was large, and it came to him and removed that abscess with a piece of the bladder, whereby that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already called out to him to remove it, and I saw that because of the size of the abscess and the condition of the patient he knew it would kill him.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from a duke in our land for surgery, and he proceeded to operate on a blacksmith's son who had a fracture in his thigh; and the doctor, with his ignorance, extracted the bone, placing it above the wound, using pillows and splints with excessive tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he released the dressing according to his own desires, and released the splint, and released it for several days, commanding that we remove the bandage; and it happened thus that the thigh and leg became inflamed, and perished.
