Ayssi comensan las paraulas de Albucasim .	The words of Albucaisim begin here.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since I have now completed this book for you, which is the final part of the science of medicine, and since its completion has reached its end, and through its explanations and declarations, it appears to me that you should understand and possess this treatise, which is a part of my operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Therefore, my operation is now laid to waste in our region and in our time, completely private, so that little by little the science of it has been forgotten, and its vestige remains hidden; and there remained no more than some small descriptions in the books of the Ancients, which have been corrupted and distorted through errors and obscurity, until the intentions of it are closed up and its force and art are elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you should revitalize that ancient order of this treatise according to the way of exposition and declaration and abbreviation; and in order that I may show you the forms of the instruments of cauterization and other tools of the work as they should be used, adding explanation and preparing them, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no good craftsman is found who has his own hand in this our time, is because the art of medicine is long, and it requires the one who will act in front to be exercised in the science of anatomy, which Galen knew well, so that he could know the joints of the members and their shapes, and their conjunction and separation; and have knowledge of bones, nerves, and ligaments, and their number, and their arrangement; and of pulsing veins and quiet ones, and the locations of their effluent.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates says that with no name is a movement, but in the work small, and most of all in the art of hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said about this in the introduction to this book; for one who is not knowledgeable in anatomy, as we have told you, will not be exempt from falling into error which will cause men's deaths, just as I have seen many of them, because some are formed in this science and seek to get ahead without true knowledge or experiment.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced doctor who had inflicted an abscess on the throat of a woman, and he had cut some arteries in her throat so that great blood flowed and the woman died between those present.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took out an abscess from a man whose state he had examined, and the abscess was large, and it came to him and removed that abscess with a piece of his bladder, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you yourself had predicted that it would be fatal to remove it, and I saw that due to the greatness of the abscess and the patient's condition, he knew it would kill him.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received pay from a duke of our land for surgery, and he undertook to suture the wound on a blacksmith's leg which had been fractured; and the doctor, with his ignorance, removed the fracture, placing it above the wound, with splints and sticks under strong tension, and did not allow the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he loosened the stitches according to his own desires, and then he removed the splints, and then he allowed it to be left for some days and commanded that we loosen the bandage; and thus it became so that the leg and foot were apostemated, and it led to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and he was prepared to loosen the bandage, and as a result, there was calmness and an end to his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption had already been confirmed in the member, so that it could not be restrained and ceased to walk, spreading corruption in the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess and caused it to ulcerate within a few days, until the malice of it magnified with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancerous part is pure of melancholic humor, therefore it does not need to be removed completely, but rather it should be left in the member which suffers and is fully hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that my operation be divided into two parts: one is in the operation associated with health, and the other is in the work where there is danger in the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in this place throughout this book, where I described the operation in which there is error and fear; therefore it is necessary for you that you guard this and avoid that, so that foolish ones do not find a way to speak and deceive you.
