Ayssi comensan las paraulas de Albucasim .	The words of Albuca's doctrine begin here.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, children, since I have completed this book for you, which is the last of the science of medicine, according to its conclusion and through my explanations and declarations, it appears to me that you will be able to grasp what I wish to convey to you in this treatise, which is a part of surgical operation.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Now the surgical operation is almost lost in our region and in our time, so that the science of it has perished, and its knowledge remains hidden; and there remain only a few brief descriptions in the books of the Ancients, which have been corrupted by many errors and obscurities, so that the intentions of it are closed off and its power and art are stretched out.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it appears to me that you will revitalize the ancient order of this treatise through the way of exposition and declaration and abbreviation; and for that, you should come with the forms of the instruments of cauterization and other tools of the work, as is necessary for addition to the declaration and preparation of what is to be done.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason why a good craftsman is not found with his own hand in this our time, is because the art of medicine is long and requires its actor to be exercised in the science of anatomy, which Galen knew well, so that he could know the joints of the members and their forms, and their conjunction and separation; and have knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and of the pulsating and quiet veins, and the places of their efflux.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore says Hippocrates that with a small name one can accomplish much, but most of all in the work of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said this about him in the introduction to this book; for whoever is not knowledgeable about anatomy as we have described it, will certainly fall into error by which men are killed, just as I have seen many of them, because some are formed in this science and then stray from that true science and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and experienced doctor who had inserted an abscess into the throat of a woman, and had cut through some arteries in the throat, so that a great deal of blood flowed out and the woman died among others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who told him to pull out a stone from a man's bladder, which he had processed in his state, and the stone was large, and it came to him and he extracted that stone with a piece of the intestines, so that that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already cried out against it, and saw that because of the largeness of the stone and the condition of the patient, he knew in advance that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took a stipend from a duke of our land for surgery, and then operated on a blacksmith's leg which was broken in the joint; and the doctor prepared himself with his ignorance, extracted the fracture, over the wound, with pulleys and astels with strong tension, and did not give the wound any breath.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he loosened the bandage according to his desires, and then released the ligature, and then left it untied for some days, and commanded that we loosen the tie; and thus it happened that the joint and leg became inflamed, and ultimately led to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to loosen the tie, and he gained tranquility and eventually became free from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, corruption had already been confirmed in the member, so that it could not be restrained and did not cease to corrupt the member until the patient was endangered.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous abscess and it became ulcerated within a few days, until the wickedness of it increased with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the cancerous tumor is pure of melancholic humor, so that it does not need to be treated with iron throughout, but rather should be considered as a member which suffers from being totally attacked.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, children, it is necessary for you to divide the surgical operation into two parts: one is in the operation which is associated with health, and the other is in the work where danger lies in the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in every place of this book where the operation is one in which there is error and fear; therefore it is necessary for you to keep this and avoid that, so that foolishness does not obstruct the way to speak and to deceive.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take your own arms with solicitude and protection of God, and your own patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best means by the grace of God to avoid losing health and the noble succession, and abandon the terrible diseases of difficult healing, and hold your own arms from this which makes you fear, so that your situation remains in your faith and in your name does not deceive you: because it is more remaining to your glory, and all the more in this world and forever in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said in some of his own writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal bad illnesses, because bad doctors are not named."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first part of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, arranged from head to foot, in the forms of instruments and ironwork of cauterization, and of what is necessary in the operation.
