Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin here.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh sons, I have now completed this book for you, which is the last of the science of medicine, because its conclusion was reached through him, and through his explanations, and through his declarations, it seems to me that you will be able to complete that which belongs to you in this treatise, which is a part of my operation, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since my operation is now obsolete in our region and in our time, completely private within itself, except that a little bit of science remains, and the vestiges remain, but there are no more than some small descriptions in the books of the Ancients, which have changed the most and deviated into those errors and aberrations, until the intentions of it are closed and the force of it is elongated and the art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you revitalize that ancient order of this treatise through the way of exposition and declaration and abbreviation; and because I added the forms of instruments such as cauterizers and other tools of the work for the purpose of supplementation of declaration, and preparation for use, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	However, the reason why a good craftsman cannot be found with his own hand in our present time is because the art of medicine is long, and it requires its practitioner to be exercised in the science of anatomy which was known by Galen so that he could know the joints of the members and their forms, and their conjunction and separation; and have knowledge of bones, nerves, and ligaments, and their number, and their arrangement; and of the pulsating veins and quiet ones, and the places of their effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And therefore Hippocrates says that a name is a mere sound, but in the work small, and most of all in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said that about him in the introduction to this book; because whoever is not knowledgeable about what we have said about anatomy will not be spared from falling into error, by which men will die, just as I have seen many of them, since some are formed in this science and take themselves for experts without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you saw a foolish and inexperienced doctor who had inserted an abscess on the throat of a woman, and had cut some arteries in the throat so that a great deal of blood flowed, and the woman died between the others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who, without realizing it, pulled out a gallstone from a man who had already developed an illness in his condition, and the gallstone was large, and he brought it to him and left that gallstone with a piece of the bladder, so that that man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you had already asked to remove it, and I saw that because of the size of the gallstone and the condition of the patient, one could infer that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received payment from a duke of our land for surgery, and he set to work on a blacksmith's Negro who had a fracture in his thigh; and the doctor, with his ignorance, removed the fracture, on top of the wound, with pulleys and stays with strong tension, and did not allow the wound to breathe.
