Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucazim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, since I have finished writing this book for you, which is the last part of the science of medicine, and its completion has achieved the goal in it, and through its explanations and declarations, it seems to me that you should complete the work that I started with this treatise, which is a part of surgical operation.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the art of surgery in me has been neglected in our region and in our time, to the point where the science of it is lost, and its practice is hidden; and it remains only in a few small descriptions in the books of the Ancients, which have been altered much and I have found that they contain errors and confusion, for their intentions are unclear and the power and art of them have faded.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you should revitalize the order of this treatise by way of explanation and declaration and abbreviation; and for what purpose came the forms of the cauterizing instruments and other tools of the work, in addition to the declaration and preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why there is no skilled practitioner of this craft in our time is that the art of medicine is long and complex, and its practitioner must be exercised in the science of anatomy, which God willing, allows one to know the joints of the members and their forms, and their conjunction and separation; and has knowledge of the bones, nerves, and ligaments, and their numbers and arrangement; and the pulsating veins and quiet ones, and the places from which they originate.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates says that among us is a name that is known, but in small matters, and most particularly in the art of surgery.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of him in the introduction to this book; for those who are not well-versed in what we have said about anatomy will fall into error by which men die, as I have seen many of them, for some are formed in this science and desert it without science or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I have seen a foolish doctor who, having inflicted an abscess in the throat of a woman, cut into some arteries of the neck so that a great deal of blood flowed out and the woman died among others.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who operated on a man with a large boil that had developed into a serious state, and the boil was huge. He went to him and extracted the boil with a piece of his intestines, and that man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already called for haste to remove her, and seeing the severity of the stone and the disposition of the patient's body it was clear he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received stipends from a duke of our land for surgery, and entrusted to a blacksmith the one who had broken him in his cleft; and with great ignorance prepared the doctor by extracting the fracture over the wound, with splints and astels with strong tension, and did not leave space for the wound to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he loosened the stitches according to their desires, and relaxed the ligature, and left it loose for several days and commanded that we remove the bandage; and thus was inside that the cleft and the thigh were ulcerated, and came to perdition.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and approached to loosen the ligature, and succeeded in calming him and easing his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile the corruption had already been confirmed in the limb, so that I could not restrain it, and the corruption did not cease to spread through the member until the patient was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous abscess, and it was ulcerated after several days, to the point that he was magnifying his own malice towards his lord.
