Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuqasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, since I have completed this book for you, which is the final part of the science of medicine, and through its completion has achieved its goal, and through its explanations, and through its declarations, it seems to me that you have acquired from me this treatise, which is a part of surgery with me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the practice of surgery with me is rare in our region and in our time, to the extent that its science is at risk, and its traces are lost; and it remains from it only a few small descriptions in the books of the Ancients, which were changed by them and deviated into those errors and hesitations, until their intentions became clear and its force was elongated and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have revived that ancient order of this treatise through the second method of exposition and declaration and abbreviation; and because the forms of the instruments of cauterization and the other tools of the work came along with the additional declaration and preparation for it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no skilled craftsman can be found in our time to practice this art is that the science of medicine is long and complex, and its practitioner must have been exercised in the science of anatomy, which Gualia knew well, insofar as it knows the joints of the members and their forms, and the conjunction and separation of them; and has knowledge of bones, nerves, and ligaments, and their number, and the emergence of them; and of pulsating veins and still ones, and the locations of their effluent.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that in name is a small thing, but great in work, and most of all in the art of manual skill.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said of him in the introduction to this book; for who does not know what we have said about anatomy will not be exempt from falling into error by which many men die, as I have seen too many of them, for some are formed in this science and stray away from it without science and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you saw a foolish doctor who had inflicted an abscess on the neck of a woman and cut into some arteries in the neck, causing a great flow of blood, so that the woman died among other things he did.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And you saw another doctor who operated on a man who was in a serious state and had a large tumor, and the tumor came out to him, but he extracted it with a piece of the intestines, so that the man died three days later.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called it fate to take that away, and I saw that due to the size of the tumor and the condition of the patient, it was clear to him that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And you saw another doctor who was receiving a stipend from a duke of our land to perform surgery, and he attempted to operate on a blacksmith who had a fracture in his chest; and due to the doctor's ignorance, he extracted the fracture, but left it exposed with pulleys and splints with excessive tension, and did not leave any space for breathing.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And the patient was brought to dissolution according to his wishes, and the surgeon sewed him up again, and left him to rest for some days and commanded that we release the stitches; and it turned out that way, so that the chest and the belly were badly infected, and he ended up with peritonitis.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and I attended to releasing the stitches, and I was able to restore his calmness and ease his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But by then corruption had already taken hold in the member, so I couldn't stop it and it continued to spread throughout the member until the patient was put in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess and it became ulcerated in just a few days, so that the patient's condition was worsened and his suffering was intensified.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous tumor is pure of melancholic humor, and it's not fitting that it should be cut out with iron instruments, but rather the member which suffers from it should be completely destroyed. (Note: In this context, "melancholic humor" refers to a hypothetical substance believed to cause emotional distress or sadness.)
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation should be divided into two parts: one in which health is associated with him, and in another work where there is danger in his greater arrangements.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed this in every place of this book where operation is the one in which there is error and fear; for that it is necessary for you to guard it and leave out that, so that the leaves do not get mixed up while speaking and making you dishonest.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your weapons with humility and protection from God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God to attain salvation and blessed success, and leave aside terrible diseases difficult to heal, and stop using those weapons that frighten you, so that your situation in your faith and in your name does not escape you: because it remains more for your glory, and even more so in the world and finally in your saintliness.
Gualia ja diyssec en alcunas sieuas monicios:	Note: I'll try my best to translate, but please keep in mind that medieval Catalan texts can be challenging due to archaic language and spelling.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a serious illness unless you are well-versed in medicine.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already read this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first in the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the head through its parts, in the forms of instruments and in the firmaments of cauteries, and from there what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, of cutting and puncturing, and of poultices, and of extracting splinters and things similar to them, all divided and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The fourth chapter, of setting and dislocation, and of curing of sprains and things similar to them; chapter ordered from the head through its parts, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauteries with fire and with acute medicine and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	This begins the treatment of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Note that this seems to be a continuation from a previous sentence or discussion. Here's my attempt at translating the given text:
