Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuçasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since I have completed this book for you, which is the end of medical science, and its completion has achieved its purpose in it, and through its explanations and declarations, it seems to me that you can comprehend this treatise, which is part of surgery with my hands.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since surgery with my hands is practiced in our region and at our time, it has been hidden, except that its danger and sight are frightening; and there remain from it only some small descriptions in the books of the Ancients, which have changed much and led to those errors and hesitation, until their intentions are clear and its strength and art have been lost.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you revive that ancient order of this treatise through its second way of exposition and declaration and abbreviation; and so I have added the forms of cauterizing instruments and other tools of the craft as an addition of explanation and preparation for them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why a skilled craftsman with their own hands cannot be found in our time is because the art of medicine is long and requires its practitioner to have been exercised in the science of anatomy, which Galen knew well, as he understood the joints of the members and their forms, and the conjunction and separation of them; and knowledge of the bones, nerves, and ligaments, and their number, and the arrangement of them; and the pulsating and quiet veins, and the places of their outflow.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And because of this, Hippocrates said that in a name there is virtue, but more so in the work itself, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Those who are not familiar with the anatomy that we have discussed in the beginning of this book will be at risk of falling into error, and thus may cause harm to men, as I have seen many such individuals, for some are trained in this science but do not practice it.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For you have seen a foolish doctor, full of pride, cause an abscess in the neck of a woman and cut into some arteries of her neck so that great blood flowed out while the woman died between his own hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I have seen another doctor who was so confident that he would remove an arrow from a man who had been injured in his state, and the arrow was large, and came to him and with great haste removed this arrow along with a piece of the viscera, by which the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already cried out against him and seen that due to the size of the arrow and the condition of the patient, he knew beforehand that the man would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another surgeon who was being paid by a duke of our land for surgery, and he entrusted to a blacksmith the repair of a fracture in the patient's leg; and because the surgeon was ignorant, without taking out the fragments, with forceps and splints tightened strongly on the wound, and did not give the wound any air.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he loosed the stitches according to their desires, and let the limb rest, and ordered that we loosen the bandage after some days, and commanded us to untie the binding; and it happened this way that the bone and the skin became suppurated, and came to corruption.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared myself to loosen the binding, and succeeded in calming him down and alleviating his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however, the corruption was already confirmed in the member, so I couldn't stop it, and the corruption continued to spread in the member until the patient fell into a serious condition.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another surgeon who pierced a cancerous abscess, and it was ulcerated after several days, until the wickedness of him was magnified before his lord.
