Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucaçim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, my sons, since I have completed this book for you, which is the last of the science of medicine, and it was accomplished by its completion, and through its explanations and declarations, it seems to me that you will be able to grasp this treatise, which is a part of surgery with me.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Since the surgery with me is almost completely unknown in our region and in our time, to the point that great danger threatens its science, and its legacy remains hidden; and it will not remain otherwise than a few small descriptions in the books of the Ancients, which have been altered much and have deviated from those errors and hesitation that are enclosed within their intentions, and the force of the art has been weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you have brought this art to life with the arrangement of this treatise in that second way of exposition and declaration and abbreviation; and so that you may know the forms of the cauterizing instruments and other tools of the craft as well as for the addition of explanation and preparation of them, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no skilled artisan is found with their hands in our time, is because the art of medicine is lengthy, and for its practitioner to exercise before this, it is necessary to be exercised in the science of anatomy which Galen knew thoroughly, as he was familiar with the joints of the members and their forms, and their conjunction and separation; and knowledge of bones, nerves, and vessels, and their number, and their arrangement; and of the pulsating veins and the quiet ones, and the places of their effusion.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason, Hippocrates said that in a name there is a thought, but more so in the work of small things, and most especially in the art of one's hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	It is already said of that in the introduction of this book; for whoever does not know what we have told about anatomy will not be able to avoid falling into error by which men are killed, as I have seen many such, because some are formed in this science and leave it for lack of science and experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you saw a foolish doctor who, in an attempt to lance an abscess of the scrotum on a woman, cut into some arteries of the penis and so much blood flowed that the woman died between her own daughters.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who prescribed a steel spike for a man who was in his estate and the spike was great, and he came to him and took out that spike with a piece of the intestines, whereby that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already cried out for help to remove it, and I saw that because of the size of the spike and the disposition of the sick man's innards, he would not survive.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was taking stipends from a duke of our land for surgery, and he undertook to cure a blacksmith whose arm was fractured in the shoulder blade; and because of his ignorance, he drew out the fracture onto the wound, with splints and staves with great tension, and did not allow the wound any breath.
