Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucasim.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh, sons, since you have completed this book, which is the last part of the science of medicine, for its completion and its consequences in it, and for its explanations and declarations, it seems to me that you will complete what I have written in this treatise, which is a part of my operation with my hand, so it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the operation with my hand is spread throughout our region and in our time of total privacy, until it has fortified the science of it, and its vision has been stopped; and I do not remain silent about it except for some small descriptions in the books of the Ancients, which muddy the waters and lead to those errors and hesitations until the intentions of it are closed and its force is elongated.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that you will vivify this ordering of this treatise in the second way of exposition and declaration and abbreviation; and so that you may come to the forms of the instruments of cautery and of other tools of the work as it is for addition to the declaration, and for preparation of it, which cause is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	The reason why no artificial hand is found in this our time, is that the art of medicine is long, and it covers the skillful actor who has been exercised in the science of anatomy which Galen understood until he knew the juices of the members and their forms, and the conjunction and separation of them; and had knowledge of the bones, nerves and ligaments, and their number, and their position; and of the pulsating veins and quiet ones, and of the places of their sensation.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this Hippocrates said that a name is not enough, but rather in the small work, and more in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	We have already said that in the introduction of this book; because whoever does not know what we have said about anatomy, is not exempt from falling into error, for which many men die, thus you have seen many of them, because they are formed in this science and get away from it, and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Because you have seen a foolish doctor who has attempted to incise an scrophilous aposteme on the neck of a woman, and has cut some arteries of the neck so that great blood flowed until the woman almost died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who promised that he would remove a stone from a man's bladder which had progressed to his state, and the stone was large, and he came to him and extracted that stone in a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already called it a futile effort to extract that, and I saw that because of the greatness of the stone and because of the disposition of the patient's body, I knew that he would die under my hands.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who received a stipend from a duke of our land for surgery, and he made a bad incision on the patient's leg which was broken in his thigh; and because of the doctor's ignorance, he extracted the fracture, above the wound, with pincers and tongs, with strong traction, and did not leave the wound to heal.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then I dislocated the joint according to their desires, and then I relaxed it, and then I left it for several days and commanded that they should not move the limb; and it was thus until the thigh and foot were apostematous, and I came to a loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have already called it a futile effort to him, and I had dislocated the limb, and consequently it was tranquilized and thus relieved of its pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was confirmed in the limb, so that it could not be restrained, and it did not cease to spread the corruption in the limb until the patient's condition worsened.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated a cancerous aposteme, and it became ulcerated after several days, until the evil of it was magnified in his lord's sight.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason is that the cancerous aposteme was pure of melancholic humor, and then it did not cover how it would come to him in entirety, but rather it was a member which suffered from everything, as if it had been besieged.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this, sons, it is necessary for you that the operation with my hand be divided into two devotions: one is an operation associated with health, and another is a work in which there is danger in major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed everywhere in this book where I found operating in which there is error and fear; because it is necessary for you to watch over this and leave that, so that the fools do not find a way to speak and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And then take up your arms in solicitude and protection of God, and your evils are fallen and are confirmed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to lose salvation and laudable success, and leave the terrible evils of difficult healing, and stop using your arms of that which makes you fear, so that it is established in your faith and in your name you are not evasive: because more remains of your glory, and afterwards in the world and lastly in your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Some people daily drink from certain sacred springs:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"There is no bad medicine for a bad patient, because bad doctors are not named."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have devoted this book to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter deals with the head and feet, in the forms of instruments and in the furnishings of cauteries, and what is necessary for the operation."
La divisio de la segonda partida.	"The division of the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on scarification and perforation, and on cupping glasses, and on plasters, and on the extraction of arrowheads and on similar things, all chaptered and ordered according to the forms of instruments."
Divisio de la tersa partida.	"The division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter, on restoration and dislocation, and on the cure of twisting and on similar things; a chapter ordered from head to feet, and according to the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cauterization by fire and acute medicine and reminiscence of the operation."
Am aquel comensa le tractat de tot le libre.	"At this point begins the treatise on the entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"I have described the quality of the juices of that cautery and its instruments, and in what complexions it is prohibited to use cauteries."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the sermon on the quality of the juice of cauteries and its instruments is a long and prolix sermon, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they are discordant, and to me it seems sufficient to take a small part of their sermons, fearing prolongation."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"Therefore I say that cauteries conform universally to all complexions, which is a matter or several matters, except for two complexions, which are cold complexions without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the cold and dry complexions there is a disagreement; for some said that cauteries are useful for those, and others said the contrary, that cauteries are not convenient in illnesses which are by quality and by dryness, because the nature of fire is quality and dryness, and it is inconvenient that cold and dry illnesses are healed by cauteries which are hot and dry."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And I say to him who says the contrary, that by cauteries it is made a remedy in all cold and dry illnesses that are found in men's bodies, because when you compare men's bodies with their humidity to the complexion of fire, you find that men's bodies are cold."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say by the sermon of that, that experience has already taught me many times to discover."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"Moreover, I do not think that it is necessary to speak about that which has already been experimented and exercised in the chapter on cauteries by last exercise, and to know the diversity of complexions in men's bodies and the disposition of illnesses in their metesises, and the causes of those, and the accidents of those, and the space of time for those."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"Moreover, in the other complexions, it is not about your fear, and especially in cold and humid illnesses, because all doctors have agreed on those, and they do not disagree on the remedy with cauteries in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, sons, that the secret of cure by cauteries is fire and its goodness, so concerning cauteries as a burning medicine, it is because fire is simple, the action of which does not penetrate except to the member which is cauterized and does not reach another member unless it is adjusted with a small benefit."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"Moreover, the action of burning medicine penetrates to that in the members where it is needed, and makes them come to the ailing member with difficult healing and makes them hear."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"Moreover, fire, by its subtlety and goodness of substance, does not do anything except to overflow; and it is already known to us through experiment and long service of study in the art about the truth of causes; and for that I have been excused from the length of the sermon; and if it were not that I did not leave my book open in this passage to you, secretly hidden with fire, and the quality of its operation in bodies and of the expulsion through which it expels illnesses, a philosophical sermon demonstrated, which would be acute in your feet."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, sons, that they disagree on the time at which it is convenient to use cauteries and pause at the best time of spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cauteries are convenient at all times, because the harm from the accidental time is submerged in the remedy of that which has been attracted by cauteries, and especially if cauteries are for pains or necessary pains, strong and steadfast, which do not suffer tardiness because they fear those that bring evil, which is greater than small harm entering through time."
