Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albucasis."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, sons, since I have fulfilled for you this book, which is the last of the science of medicine, to complete it and its consequences, and by its explanations and declarations, it seems to me that I accomplish that for you with this treatise, which deals with the operation by hand, that is surgery."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation by hand is greatly hindered in our region and time, so that few know its science, and its traces are almost lost; indeed, there remain only a few descriptions of it in the books of the Ancients, which have been obscured over time, their meanings changed, and they have fallen into error and obscurity, such that their intentions are hidden and their strength is weakened."
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"And it seems to me that I revive this with the ordering of this treatise according to the way of exposition and declaration and abbreviation; and also adding illustrations of the shapes of the instruments for cauterization and other tools necessary for the work, and preparing them, which is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"For the reason why there are not many good practitioners of this craft in our time is because the art of medicine requires that its practitioner be skilled in anatomy beforehand, knowing the arrangement of limbs and their forms, connections and separations; and having knowledge of bones, nerves and ligaments – their number and function; also of the pulsating veins and quiet ones, and the places where they discharge."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore said Hippocrates with his name, but in practice little, and especially in the art of surgery."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already said at the beginning of this book that whoever does not know what we have said about anatomy will surely fall into error and cause many deaths of men, as I have seen too often."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I saw a foolish and inexperienced surgeon open an escrofulous swelling on the neck of a woman, and cut some arteries in the neck so that much blood flowed out, causing the woman to die immediately."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another surgeon who took it upon himself to remove a stone from the bladder of a man who had fallen into that state, and the stone was large; he came near him and removed that stone with a piece of the bladder, so that the man died on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I had already foreseen that outcome and saw that because of the size of the stone and the condition of the patient's illness, he would surely die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another surgeon who was paid a fee of one ducat by our lord to perform surgery, and he undertook the case of a black man who had a fracture of his thighbone; preparing himself with great ignorance, he reduced the fracture without leaving any space, with pillows and stones under strong pressure, and did not allow space for respiration."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"Then he bound him up according to his desires, then released him and let him lie down again for some days, commanding that they release the bandage; and so it happened that the thighbone became inflamed and putrefied, and he came to destruction."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him, and prepared to remove the bandage; but as soon as it was removed, calmness returned, and his pain ceased immediately."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	"But nevertheless the corruption was already confirmed in the limb, so that I could not prevent it, and the corruption did not cease to wander throughout the limb until the patient perished."
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	"And I saw another surgeon who perforated a cancerous swelling, and it became ulcerated in a few days, so that the evil was increased by its lord."
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	"The reason for this is because the cancerous ulcer is full of melancholic humor, therefore it should not be cauterized with iron on all sides, but only on the part that suffers from inflammation."
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	"And therefore, children, it is necessary for you that the operation with the hand be divided into two parts: on the one hand is the operation associated with health, and on the other hand is the work where there is danger in the greatest dispositions."
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	"And I have already spoken about this throughout the whole of this book where operation is associated with error and fear; therefore it is necessary for you to keep this in mind and leave that alone, so that foolish men may not find an opportunity to speak and dishonor you."
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	"Therefore take up your arms with diligence and protection from God, and treat your illnesses with skillfulness and firmness."
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"And use the best way through the grace of God to obtain health and praiseworthy success, leave behind terrible illnesses of difficult healing, show your arms against what makes you fearful, so that steadfastness in your faith and in your name does not desert you: for greater is remaining in your glory, and then in the world and finally in your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	"Since I have already spoken in some of my books:"
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"No medical illness, so that bad doctors are not appointed."
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already divided this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Here begins the division of the book, first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter ordered concerning the head, in the forms of instruments and irons for cauterization, and what is necessary in the operation."
La divisio de la segonda partida.	"Here begins the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter concerning cautery and perforation, and cupping glasses, compresses, and extraction of arrows and similar things, all ordered according to the forms of instruments."
Divisio de la tersa partida.	"Here begins the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter concerning reduction and dislocation, and the cure of torticollis and similar things; this chapter is ordered according to the head, in the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"Concerning cauterization with fire and with sharp medicine, and remembrance of the operation."
Am aquel comensa le tractat de tot le libre.	"And with this begins the treatise of the entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"It is necessary for me to speak about the qualities of those caustics and their effects, and in what complexion cautery is prohibited."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the discussion about the quality of cautery and its effects is long and prolix, subtle in science, and secretly hidden; many wise men have already spoken about it, and they disagree among themselves, but for me it suffices to touch upon some of their discussions briefly, fearing prolivity."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"And therefore I say that cautery agrees with every universal complexion, whether it has matter or not, except for two complexions, which are dry without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the case of a dry and hot complexion that is out of balance; some say that cautery is beneficial for this, while others say the opposite, that cautery is not suitable for an illness that is due to heat and dryness, as fire itself is hot and dry, and it is inappropriate to use something hot and dry to treat a condition that is already hot and dry."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And he who says the opposite, that cautery is beneficial in all hot and dry illnesses that occur in men's bodies, argues that when you compare the body of man and its humidity to the nature of fire, you find them alike."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say, based on what that person says, that I have already experienced this many times."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"But it is not necessary for me to repeat what has already been said and practiced in the chapter on cautery through recent exercises, having learned about the diversity of men's complexions and the disposition of illnesses in their bodies, as well as their causes, accidents, and duration."
