Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukharī
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, since I have fulfilled this book for you, which is the last of the science of medicine, and by its completion its end has been reached, and by its chapters and its explanations it seems to me that I should supplement it with this treatise, which deals with manual operations, i.e. surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the art of manual operation is prostrate in our region and time, almost entirely neglected, so that its science has perished, and its traces are hidden; and nothing remains of it but a few brief descriptions in the books of the Ancients, which have been altered by their owners, leading to errors and misinterpretations such that the meanings of these descriptions are obscured and the force and art of this manual operation are prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this with the arrangement of this treatise according to the method of exposition, explanation, and abbreviation; and let it come with the forms of cautery tools and other instruments of the work, as well as their addition in the explanation, and their preparation, which is necessary for this cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the cause why there is not found a good artisan of manual operation in this our time is that the art of medicine is long, and its practitioner must first be exercised in the science of anatomy, which Galen understood to mean knowing the joints of the members and their shapes, as well as their conjunctions and separations; and having knowledge of the bones, nerves, and tendons - their numbers and arrangements; and of the pulsating veins and quiet ones, and the places where they emit.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And thus says Hippocrates with his own name that it is not a little thing in work, but especially in the art of manual operation.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	But we have already said in the introduction of this book that whoever is not knowledgeable about what we have said regarding anatomy will certainly fall into error, which has caused many deaths among men, as I have seen many times; for some are formed in this science and yet depart from it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	For I saw a foolish and inexperienced doctor incision an escrophulous abscess in the neck of a woman, and cut some arteries of the neck so that much blood flowed out, causing the woman to die suddenly.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who took it upon himself to remove a stone from a man who had reached that state, and the stone was large, but he came and removed that stone with a piece of bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I had already predicted that he would die, and saw that because of the size of the stone and the disposition of his illness.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who was paid twelve ducats from our land to perform surgery, and he undertook the case of a blacksmith who had fractured his thighbone; but because of his ignorance, the doctor prepared the fracture with splints and wedges with great force, without leaving room for expansion.
