Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukhary
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O children, since I have completed this book for you, which is the last of the science of medicine, it seems to me that by its completion and explanation, I fulfill my promise to you with this treatise on surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	Because the practice of surgery is almost unknown in our region and time, it is feared that this science will be lost, its traces will disappear, and only a few small descriptions will remain in the books of the Ancients. But these are obscure and their meaning is difficult to understand.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I should revive this with a treatise arranged in such a way as to explain, clarify and abbreviate; and also include illustrations of the forms of cautery tools and other instruments used in the operation, both for addition to the explanation and preparation of the subject matter.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why skilled surgeons are not found in our time is that the art of medicine is lengthy and requires its practitioner to be well versed in the science of anatomy before attempting surgery. One must know the arrangement of the limbs, the forms of their joints and separations; the number and function of bones, nerves, and ligaments; and the location of arterial and venous pulsation points.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"Thus says Hippocrates that in name it is small, but in work it is great, especially in the art of the hand."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already spoken of this at the beginning of this book; for whoever does not know what we have said about anatomy will not avoid falling into error which often causes the death of men, as I have seen too many times, since some are formed in this science but lack knowledge and experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"I saw a foolish and inexperienced physician who incised an aphemphous abscess on the neck of a woman, cutting some arteries in the process, causing so much blood to flow that the woman suddenly died between her sheets."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another physician who, shortly after removing a stone from a man in his urinary state, and the stone was large, he tore part of the bladder with it, causing that man to die on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I had already warned him not to do so, and I saw that because of the size of the stone and the state of the illness, I knew right away that he would die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another physician who received payment of one ducat from our land for surgery, and he came to treat a black man who had a broken thighbone. And through his ignorance, the physician put splints on it with bandages and braces too tightly, not allowing space for respiration."
