Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albohali."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, sons, since I have completed this book for you, which is the last of medical science, in completing it thus ends its course, and by its explanations and declarations, it seems to me that I fulfill what is lacking for you with this treatise, which deals with manual operation, that is surgery."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the manual operation is prostrated in our region and time, entirely private, except that very few remain who possess its science, and its signs are lost; there would remain only a few small descriptions in the books of the Ancients, which have changed their meaning and ended up being guided by those errors and hesitations so that their intentions are closed and its strength is prolonged and its art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"And it seems to me that I will revive this with an order according to the treatise's method of exposition and declaration and abbreviation; and also that it comes with the forms of the cautery instruments and other tools for the work as it is for addition to the declaration, and for preparation of it, which cause is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"But the cause why there is no good artisan with his hand in this our time is because the art of medicine is long and its performer must be practiced beforehand in the science of anatomy, which includes knowing the structure of members, their connections, separations, the knowledge of bones, nerves, and tendons, their number and their function; and also about the pulsating veins and quiet ones, and the places of their discharge."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore says Hippocrates that with great words but little work, especially in the art of surgery."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But we have already said about this at the beginning of this book; for whoever is not knowledgeable about what we have said about anatomy will certainly fall into error, causing many deaths among men, as I have seen too many cases where some are formed in this science but lack its knowledge and experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I saw a foolish and inexperienced doctor incision an abscess in the neck of a woman and cut some arteries of the neck, causing her to bleed greatly so that she died among the masses."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another doctor who took out a stone from a man who was in his final state, and the stone was large; he came to him and extracted that stone with a piece of the bladder, causing that man to die on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I already warned him not to do it, but he insisted; and I saw that due to the size of the stone and the condition of the patient, I knew right away that he would die."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another doctor who received payment of one ducat from our land for surgery; he intervened on a black man who had a broken hip joint. The doctor prepared himself with his ignorance and extracted the fracture over the wound using pillows and wedges with great force, not leaving room for respiration."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"And he finished according to his desires and then removed the bandages; but soon afterwards he relapsed and died a few days later because the hip joint became inflamed and gangrenous."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him and prepared myself to remove the bandage; finally there was tranquility and easing of his pains."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	"But nevertheless corruption had already spread to the limb, so I could not stop it; and corruption continued to spread throughout the limb until the patient died."
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	"And I saw another doctor who pierced a cancerous abscess; soon afterwards it became ulcerated and its mischief was magnified by the patient's master."
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	"This is because the cancerous ulcer is caused by melancholic bile; therefore it should not be treated with fire alone, but rather that member which suffers from it should be cauterized."
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	"And therefore, my children, it is necessary for you that the operation with the hand be divided into two parts: one is the operation associated with health, and the other is the work in which there is danger in the most difficult situations."
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	"And I have already pointed this out in all places throughout this book where there is mention of operation involving error and fear; therefore it is necessary for you to keep this in mind and let it go, so that foolish people do not find an opportunity to speak against you."
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	"And therefore take up your arms with solicitude and protection of God, and treat your patients with gentleness and firmness."
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"And use the best way to obtain salvation and laudable success through the grace of God, leave behind terrible diseases difficult to cure, show your arms against that which makes you afraid, so that confidence in your faith and your name does not fail you: for more remains to your glory, both now and hereafter to your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	"Wherefore already in some of his treatises he said:"
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"No cure illness poorly, lest you be called bad physicians."
E yeu ja he devesit aquest libre segontz tres capitols.	"I have already read this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Begin the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter orders the entrance into caves, in the forms of instruments and irons for cauterization, and that which is necessary in the operation."
La divisio de la segonda partida.	"The division of the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on cutting and piercing, and on cupping glasses, and on plague doctors, and on the extraction of arrows and similar things, all ordered in the forms of instruments."
Divisio de la tersa partida.	"Division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter on restoration and dislocation, and cure of twisted joints and similar ones; chapter ordered with entrance into caves and forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cauterization with fire and with medicine applied acutely, and reminder of the operation."
Am aquel comensa le tractat de tot le libre.	"And with that begins the treatise on all the book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"You should say what is the quality of the instruments used for that cauterization and their non-accidents, and in which complexion it is prohibited to cauterize."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the sermon on the quality of the cauterizing instrument and its non-accident is long and prolix, subtle by science, and secret hidden; and already many wise men have spoken about it, and they disagree among themselves, and it suffices me to mention a little bit of their sermons for fear of length."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"And therefore I say that cauterization befits all complexions universally, which are with matter or without matter, except for two complexions, which are called complexions cold without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the cold and dry complexion with matter there is disagreement; for some said that cauterization is beneficial to it, and others said the opposite, that cauterization is not convenient in an illness which is by quality and by dryness, because the nature of fire is quality and dryness, and it is inconvenient that an illness which is cold and dry with matter should be healed by something hot and dry."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And he says that one who says the opposite of this, that cauterization is made beneficial in all cold and dry illnesses which come into the bodies of men, for when you compare the body of man and its humidities to the complexion of fire, you find the body of man hot."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say that this has already been discovered by experience many times."
