Ayssi comensan las paraulas de Albucasim .	"Thus begin the words of Albucasis."
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	"Oh, children, since I have completed for you this book, which is the last of the science of medicine, according to its perfection and conclusion, and through its explanations and statements, it seems to me that I complete it for you with this treatise on surgery."
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	"For the practice of surgery is much neglected in our region and time, such that it is almost lost to science, its traces are obscured; and there remain only a few small descriptions of it in the books of the Ancients, which are changed over time and lead astray those who follow them, because their intentions are unclear and the strength of this art is diminished."
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	"It seems to me that I should revive this (science) with an ordered treatise, in accordance with the method of exposition and explanation and abbreviation; and that it should come accompanied by illustrations of cautery instruments and other tools used in surgery, for addition to the explanations and preparation of them, which is necessary."
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	"But the reason why there is no good practitioner of surgery in our time is because the art of medicine is extensive, and its practitioner must first be well-versed in the science of anatomy, which teaches the arrangement of the members and their shapes, their connections and separations; and have knowledge of bones, nerves, muscles, their number and proportion; and of the pulsating veins and quiet ones, and the locations of their outlets."
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	"And therefore Hippocrates said that 'in name it is great, but in deed small,' especially in surgery."
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	"But as we have already said at the beginning of this book, whoever is not knowledgeable about what we have said regarding anatomy will surely fall into error, which causes many deaths among people, as I have seen happen too often, since some are formed in this science but depart from it without knowledge or experience."
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	"For I saw a foolish and inexperienced doctor accidentally cut an escrophilus tumor in the neck of a woman, and cut some arteries in her neck causing her to bleed profusely and die suddenly."
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	"And I saw another doctor who tried to remove a stone from the bladder of a man in whom it had formed, and while doing so he tore a piece of the bladder, causing that man to die on the third day."
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	"And I myself had already predicted that this would happen, and knew beforehand that he would die because of the size of the stone and the condition of the patient."
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	"And I saw another doctor who received payment from one of our dukes to practice surgery, and attempted to reset the thighbone of a black man who had suffered a fracture there. The doctor prepared himself with ignorance, reset the fracture on top of the joint without leaving room for breathing, using pillows and bolsters with great force."
