Ayssi comensan las paraulas de Albucasim .	 Thus begin the words of Albucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 So, sons, since I have completed this book for you, which is the last of the knowledge of medicine, by its completion one reaches its end, and through its explanations and descriptions, it has become clear to me that I should complete it for you with this treatise, which is a part of the operation by hand, thus it is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the operation by hand has been neglected in our region and in our time, to such an extent that it is almost entirely lost, and its traces have disappeared; only a few small descriptions remain in the books of the Ancients, which have changed greatly and have come to errors and confusion, until their meanings are closed off and the power and art of them are weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it has seemed to me that I should revive it with the arrangement of this treatise according to the way of explanation and description and abbreviation; and because it comes with the forms of the cautery tools and the other instruments of the work as will be added by the explanation, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 But the reason why a good craftsman with his hand is not found in this our time is that the art of medicine is long, and it is necessary for its practitioner to be well-exercised in the science of anatomy, which includes knowledge of the arrangement of the members and their forms, their connections and separations; and he must have knowledge of the bones, nerves and ligaments, and their number, and their function; and of the pulsating veins and the still ones, and their exit points.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this reason Ipocrates says that with a name it is nothing, but in action it is little, and mostly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already said that about him in the beginning of this book; for whoever is not knowledgeable in what we have said about anatomy will not be able to avoid making errors which will cause the death of men, as I have seen happen many times. For some are educated in this science and yet cast it aside without knowledge or experimentation.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 Because I saw a foolish and inexperienced doctor incise a scrofulous abscess on the neck of a woman, and he cut some arteries of the neck so that much blood flowed until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who tried to remove a stone from a man whose condition had worsened, and the stone was large, and he came to him and removed that stone with a piece of the bladder, so that on the third day that man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I had been called to remove it, and upon seeing the size of the stone and the condition of the patient, I realized that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And I saw another doctor who received payment of one thousand ducats from our land for surgery, and he came across a black eunuch who had a broken leg; the doctor, in his ignorance, removed the fracture from the wound using cushions and splints with great strength, but did not allow the wound to breathe.
