Ayssi comensan las paraulas de Albucasim .	 "Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 "O children, since I have completed this book, which is the final one on the science of medicine, and its completion has been achieved, through its explanations and clarifications, it seems to me that I should complete it for you with this treatise, which deals with the action of the hand, namely surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 "Because the practice of surgery has been abandoned in our region and in our time, to the point that its knowledge has almost disappeared, and its traces have vanished; nothing remains of it except a few brief descriptions in the books of the ancients, which changed most things and led to errors and confusion until their intentions were obscured and their power and art weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 "And it seems to me that I should revive it with the arrangement of this treatise according to the method of explanation, clarification, and abbreviation; and because it comes with descriptions of the cautery tools and other instruments for the work as needed for the explanation, and in preparation for it, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 "However, the reason why a skilled craftsman with his hand is not found in our time is that the art of medicine is lengthy, and its practitioner must be well-versed in anatomy, which includes knowing the joints of the limbs and their shapes, their connection and separation; having knowledge of the bones, nerves, and muscles, as well as their number and arrangement; and understanding the pulsating and quiet veins, and their places of origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this reason, Hippocrates said that it is not in the name but in the action that matters, and mostly in the skill of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already said about this in the beginning of this book; for whoever is not knowledgeable about what we have said regarding anatomy will fall into error by which many men will die, as I have seen happen too often because some are trained in this science and then abandon it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 Because I saw a foolish and inexperienced doctor cut into a scrofulous abscess on the neck of a woman, and he also cut some arteries in the neck so that a large amount of blood flowed out until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 I also saw another doctor who tried to remove a stone from a man who had a bladder problem. The stone was large and he attempted to pull it out, but in doing so, he removed part of the bladder along with it, which caused the man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I already knew at that moment to attempt to remove it, and I saw that due to the size of the stone and the condition of the patient, I recognized that he would die from it.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And there was another doctor who received payment from a duke of our land for his surgical work, and he happened upon a black man who had a fracture in his thigh; with his ignorance, the doctor prepared bandages and astels with strong bindings on top of the wound, without allowing any ventilation to the wound.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 And then he removed the bindings according to his desires, and then rebound them, and then left him bandaged for several days and commanded us to remove the bindings; and thus it happened that the thigh and foot were covered in pus, leading to their loss.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to remove the bindings; upon doing so, he found relief and his pains ceased.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 However, the corruption had already taken hold in the limb, and thus he could not stop it; the corruption continued to spread in the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another doctor who lanced a cancerous abscess, and it became ulcerated after some days, until the evil of it was magnified by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 This is because the black bile of a cancerous abscess is pure humoral, and thus it should not be penetrated with iron from all directions, but rather should be cauterized in one part of the body so that the evil is expelled from the entirety.
