Ayssi comensan las paraulas de Albucasim .	 Here begins the treatise of Al-Bucasis.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 Oh, my sons, since I have completed this book for you, which is the last of the science of medicine, its completion has been achieved in it and through its expositions and clarifications, it seems to me that I should complete it for you with this treatise, which is a part of the operations by hand, which is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the operation by hand is neglected in our region and in our time, to such an extent that its science has nearly perished, and its traces have been effaced; nothing remains of it except a few brief descriptions in the books of the ancients, which they altered most and thus fell into error and confusion, until their meanings were closed off and its force and art were prolonged.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it is clear to me that I should revive this [science] with the ordering of this treatise in accordance with the way of exposition and clarification and abbreviation; and so that it comes with the forms of the cautery tools and the other instruments of the work as they are necessary for the addition of clarification, and for its preparation.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 However, the reason why a good craftsman with his hands cannot be found in this our time is that the art of medicine is long, and its practitioner must first be trained in the science of anatomy, which includes knowing the joints of the members and their forms, and the connections and separations of them; and having knowledge of the bones, nerves, and sinews, as well as their number and placement; and of the pulsating veins and those at rest, and the places from which they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this reason, Hippocrates says that a name is nothing, but in the work, it is small, and mostly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said regarding anatomy will be unable to avoid falling into error, which will cause the death of men, as I have seen happen many times, because some are trained in this science and yet reject it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 Because I saw a foolish and inexperienced doctor cut an erysipelatous abscess on the neck of a woman, and he cut some arteries in the neck so that much blood flowed until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who tried to remove a stone from a man who had it in his bladder, and the stone was large, and he came upon it and drew out that stone with a piece of the bladder, so that on the third day the man died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I was already called to remove that stone, and when I saw the size of the stone and the condition of the patient, I realized that he would die under my care.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Certainly! Here is the translation of your provided text:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 And then loosen him according to his desires, and then bind him again, and then let him lie still for some days, and command that we unbind the bandage; and thus it went on until the space and the foot were infected, and reached destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to unbind the bandage, and thus he found peace and so his pains decreased.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 However, corruption was already established in the member, so it could not be stopped, and the corruption continued to spread throughout the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another doctor who punctured a cancerous abscess, and it became ulcerated after some days, until the evil of it was greatly increased with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause of which is because the cancerous abscess is full of melancholic humor, so it is not good that iron should come to it from all directions, but rather that there should be a member where it can be hosted.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And therefore, my children, it is necessary for you that the operation with the hand be divided into two directions: this is, in an operation associated with health, and in work which involves great risk in the most important conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already explained this in every part of this book where an operation takes place that involves error and fear; therefore, it is necessary for you to guard against this and leave it, so that the pages do not find a way to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 Therefore, take up your arms with diligence and under the protection of God, and tend to your patients with happiness and firmness.
