Ayssi comensan las paraulas de Albucasim .	 This appears to be a statement that begins with "Thus begin the words of Al-Bukhari.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 O, children, since I have completed this book for you, which is the last of the science of medicine, by completing it you will achieve its end, and through its explanations and clarifications, it is clear to me that I should present this treatise to you, which deals with surgery as part of the medical practice.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the practice of surgery has been abandoned in our region and in our time, it is almost completely lost, and its traces have disappeared; nothing remains except some brief descriptions in the books of the Ancients, which were altered by most and misunderstood, until their meanings were closed off and the force and art of it was weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it seems to me that I should revive it by organizing this treatise in the way of explanation and clarification and summarization; and so that it comes with the forms of cautery tools and other instruments of the work, as will be explained by addition of clarification, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 But the reason why a good craftsman with his hand is not found in this our time is that the art of medicine is long, and its practitioner must be well-versed in the science of anatomy, which includes knowing the arrangement of members and their forms, as well as their connection and separation; and having knowledge of bones, nerves, and tendons, their number and function; and of pulsating veins and quiet ones, and the places where they emerge.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this reason, Hippocrates said that it is not just about the name but rather in the action, and especially in the skill of one's hands.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already mentioned that in the beginning of this book; for those who do not know what we have said about anatomy will fall into error, by which men die - as I have seen happen to many, because some are trained in this science and yet practice it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 For I saw a foolish and inexperienced doctor cut an scrofulous abscess on the neck of a woman, and he also cut some arteries in her neck so that much blood flowed until the woman fell dead into his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who attempted to remove a stone from a man who had developed an inflammation in his bladder, and the stone was large. He reached for it and drew out that stone along with a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I had called for it to be removed, and I saw that because of the size of the stone and the condition of the patient, I knew beforehand that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And I saw another doctor who took a stipend from a duke of our land to perform surgery, and it happened that the patient was a black eunuch whose thigh bone had been fractured; and with his ignorance, the doctor prepared by placing pulvinas and astelas on the wound with strong compression, but did not allow the wound to have air circulation.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 Then he unbound him according to his desires, and then bound him again, and left him like this for some days, commanding us to unbind the bandage; and it happened that the thigh and the foot became infected with pustules, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to unbind the bandage, and immediately obtained peace and relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 But still the corruption was confirmed in the limb, so that it could not be restrained, and the corruption continued to spread throughout the limb until the patient died.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another doctor who punctured a cancerous abscess, and it became ulcerated after a few days, until the evil of it was greatly increased with him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 This text appears to discuss the treatment of patients with specific medical conditions related to bodily humors and injuries. Here's a line-by-line translation:
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And for this, children, it is necessary that the operation with your hand be divided into two paths: one is an operation associated with health, and the other is a work associated with danger in the greatest situations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already addressed this in every place in this book where there is an operation that involves error and fear; therefore, it is necessary for you to guard against this and leave that, so that the pages do not find a way to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 Therefore, take up your arms with diligence and under the protection of God, and may your patients be fortunate and steadfast.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best method so that by the grace of God they may attain health and praiseworthy success, and leave behind terrible diseases that are difficult to heal. Avoid those things that cause you fear, so that trust in your faith and in your name does not elude you: for greater is your glory, both in this world and afterwards in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 Gualia has already discussed some of these topics in his lectures:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	  “Do not treat diseases badly, lest you be called bad doctors.”
E yeu ja he devesit aquest libre segontz tres capitols.	 "And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 "The division of the book begins here, first with the initial section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 "The first chapter is about feet, specifically the forms of instruments and the tools used for cautery, and what is necessary for the operation.
La divisio de la segonda partida.	 "The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 "The second chapter is about incision and puncturing, cupping, wounds, and the extraction of arrows or similar items; all are categorized and ordered according to the forms of instruments.
Divisio de la tersa partida.	 "Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 "The third chapter is about restoration and dislocation, and the care of fractures and similar conditions; it is ordered beginning with the feet, and concerning the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 "About cauterization with fire and sharp medicine, and remembering the operation.
Am aquel comensa le tractat de tot le libre.	 "With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 "I should explain the qualities of the instruments for that cautery and their disadvantages, and in which conditions caution is advised against using it.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 "Therefore, I say that the discussion of the qualities of the cautery instrument and its disadvantages is long and intricate, subtle in knowledge, and hidden secretly; many wise people have spoken about it and disagreed, and I can only grasp a little of their discussions, for fear of making this too lengthy." ︎
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 Here's a line-by-line translation of the given sentence:
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the context of a dry and cold condition with material, caution should be taken; for some say that cautery is beneficial for this, while others disagree, stating that cautery is not suitable for an illness caused by heat and dryness, because the nature of fire is heat and dryness, and it is inconvenient that a cold and dry illness be treated with something that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And those who say the opposite should be rebuked, for it is beneficial to apply cautery to every cold and dry illness that appears in men's bodies, because when you compare man's body and its moisture to the nature of fire, you find man's body to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 And I say by their word that experience has already revealed this to me several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is not fitting that what has already been approved and practiced in the chapter on cautery by previous experience be changed, since one knows the diversity of human constitutions and the disposition of illnesses within them, as well as their causes, accidents, and the duration of these conditions.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 But in other conditions, you should not fear this, and especially in cold and moist illnesses, because all doctors have agreed on these, and they are not contradictory regarding the benefit of cautery in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, my sons, that the secret of healing through cautery with fire and its beneficial effects are also seen in cautery with medicine, because fire is simple and its action only affects the member being cauterized and not the adjacent members except for minor harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 But the action of medication cautery reaches those members that are close to it, and it quickly brings on a difficult-to-heal condition in the afflicted member and is swiftly applied.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 But fire, due to its sublimity and the goodness of its substance, does not do this except that it superfluously removes [something]. And it is known to us through experience and long service in studying the art of truth about the causes; and because of this I am excused from the length of the sermon. And if it were not that it is not allowed in my book, I would have kept a secret with you about fire, and the quality of its operation on the body and its expulsion by which it drives out illnesses, demonstrated through philosophical discourse, which would sharpen your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 And know, my sons, that they disagree about the time in which it is appropriate to perform cautery and they consider the best time to be in spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 And I say that cautery is suitable at any time, because the harm caused by accidental events is suppressed by the aid of what is drawn with the cautery, and especially if the cautery is for pains or necessary pains, strong and fistulas, which do not tolerate delay because it is feared that evil will come from them, which is greater than a small harm entering over time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And this is not in your thoughts, or sons, what only the common people and foolish doctors think, because for that illness which is cured by cautery there is always a cure, and they pause with that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the cause is not at all as they think because of this, for cautery is nothing more than a medicine that alters the complexion and dries the moistures which are the cause of pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 But nevertheless, cautery exceeds medicine in speed of its virtue and strength of its operation, and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that his illness may return at some point in time, according to the patient's complexion and the location of his illness, and his strength, and what is prepared in his body from the accumulation of superfluities, and what has come to him from his acquisition of food and similar causes; except that the illness in which cautery is administered be an illness of a subtle member with few superfluities and moistures, such as a tooth cauterized for pain, it is possible that the pain may not return to him, but this happens rarely.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 Here's the translation of the given sentence:
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 And the cause of this is contrary to that; and the intention that cautery is the last remedy of medicine is only when the ways of treatment in some diseases are administered, and those medicines do not confer health, and at the end of the cause a man administers cautery, and profits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 And then here is the proof that cautery is the last remedy of medicine, not according to the opinion which I understand from the common and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that cautery with gold is better than cautery with iron, and they said this not because of the equality of gold but because of the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And they said that the site of cautery does not cause a scar, although this is not absolutely true, because I have proven and found that it does so in some bodies but not others; and cautery with gold is good and better than with iron as they said; however, when you perform cautery with fire and gold, it is not clear to you whether it will be successful according to the quantity of gold you want, because it prepares to receive a cold; and if you put on it ignition, the gold melts in the fire, and some leaves fall into the fire due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And for that, a cautery with iron should be made more gently and precisely according to the requirements of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already ordered this chapter on cautery according to the previous chapters, and I have ordered those from the head down to the feet, so that I may ask the reader what he wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	 On cauterizing headache caused by cold and dampness.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization deals with cold and dampness, from which arise two harmful accidents: one is called a headache, the other a multitude of fluxes or rheumatic flows from the head to the parts around the eyes and ears, causing much sleepiness, toothaches, and throat problems, as well as universally all illnesses that come from coldness, such as paralysis, headache, apoplexy, and similar ailments in those afflictions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The form of this cauterization is as follows: firstly, instruct the patient to take a purgative medicine that cleanses the head for three or four nights, according to the strength of the patient, their age, and their habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 And then command him to shave his head with a razor, and then make him sit between your hands on a stool and place his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 Certainly! Here’s the translation for the given line:
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 "However, once the point on the middle of the body has been reached, mark that spot with a tentacle, and then ignite the pointed cautery made from olive wood.
